Designator,Mid X,Mid Y,Rotation,Layer
C1,368.9,-99.1,90.0,bottom
C10,205.8,-38.5,90.0,bottom
C11,229.8,-38.5,90.0,bottom
C12,248.8,-38.5,90.0,bottom
C13,267.8,-38.5,90.0,bottom
C14,286.8,-38.5,90.0,bottom
C15,310.8,-38.5,90.0,bottom
C16,32.0,-62.23,90.0,bottom
C17,51.0,-62.2,90.0,bottom
C18,70.0,-62.4,90.0,bottom
C19,89.2,-62.23,90.0,bottom
C2,44.2,-38.4375,90.0,bottom
C20,108.2,-62.23,90.0,bottom
C21,127.2,-62.23,90.0,bottom
C22,146.4,-62.4,90.0,bottom
C23,165.4,-62.4,90.0,bottom
C24,184.6,-62.4,90.0,bottom
C25,203.6,-62.23,90.0,bottom
C26,222.6,-62.23,90.0,bottom
C27,241.6,-62.23,90.0,bottom
C28,260.6,-62.23,90.0,bottom
C29,289.2,-62.2375,90.0,bottom
C3,67.9,-38.5375,90.0,bottom
C30,322.6,-62.23,90.0,bottom
C31,341.6,-62.3625,90.0,bottom
C32,360.6,-62.3625,90.0,bottom
C33,49.0,-81.4,90.0,bottom
C34,72.8,-81.6,90.0,bottom
C35,91.8,-81.4,90.0,bottom
C36,110.8,-81.4,90.0,bottom
C37,129.8,-81.2,90.0,bottom
C38,148.8,-81.4,90.0,bottom
C39,168.0,-81.4,90.0,bottom
C4,86.8,-38.5,90.0,bottom
C40,187.0,-81.4375,90.0,bottom
C41,206.2,-81.2,90.0,bottom
C42,225.4,-81.2,90.0,bottom
C43,244.0,-81.4,90.0,bottom
C44,263.2,-81.4,90.0,bottom
C45,282.2,-81.6,90.0,bottom
C46,306.2,-81.4,90.0,bottom
C47,334.6,-81.6,90.0,bottom
C48,353.8,-81.6,90.0,bottom
C49,373.0,-81.4,90.0,bottom
C5,105.8,-38.5,90.0,bottom
C50,39.0,-99.8375,90.0,bottom
C51,65.5,-100.4,90.0,bottom
C52,84.4,-100.4,90.0,bottom
C53,103.6,-100.5,90.0,bottom
C54,122.5,-100.5,90.0,bottom
C55,141.6,-100.5,90.0,bottom
C56,160.6,-100.4,90.0,bottom
C57,179.7,-100.4,90.0,bottom
C58,198.7,-100.5,90.0,bottom
C59,217.8,-100.4,90.0,bottom
C6,124.8,-38.5,90.0,bottom
C60,236.9,-100.3,90.0,bottom
C61,255.9,-100.4375,90.0,bottom
C62,287.0,-100.3,90.0,bottom
C63,56.1,-119.5,90.0,bottom
C64,87.0,-119.5,90.0,bottom
C65,106.2,-119.5,90.0,bottom
C66,125.1,-119.2,90.0,bottom
C67,144.1,-119.7,90.0,bottom
C68,163.3,-119.6,90.0,bottom
C69,182.2,-119.5,90.0,bottom
C7,148.8,-38.5,90.0,bottom
C70,201.4,-119.7,90.0,bottom
C71,220.3,-119.7375,90.0,bottom
C72,239.4,-119.6,90.0,bottom
C73,258.4,-119.6,90.0,bottom
C74,294.3,-119.6,90.0,bottom
C75,353.8,-119.3,90.0,bottom
C76,34.5,-138.5,90.0,bottom
C77,58.4,-138.5,90.0,bottom
C78,82.0,-138.4,90.0,bottom
C79,116.9,-138.0375,90.0,bottom
C8,167.8,-38.5,90.0,bottom
C80,153.4,-138.5,90.0,bottom
C81,187.6,-138.7375,90.0,bottom
C82,225.0,-138.3,90.0,bottom
C83,248.8,-138.4375,90.0,bottom
C84,272.6,-138.6,90.0,bottom
C85,296.5,-138.1375,90.0,bottom
C86,322.9,-138.3,90.0,bottom
C87,341.7,-138.4375,90.0,bottom
C88,360.9,-138.3375,90.0,bottom
C9,186.8,-38.5,90.0,bottom
D1,47.625,-32.0,90.0,bottom
D10,233.3625,-32.0,90.0,bottom
D100,366.7125,-62.23,180.0,bottom
D101,347.6625,-62.23,180.0,bottom
D102,328.6125,-62.23,180.0,bottom
D103,295.275,-62.23,180.0,bottom
D104,266.7,-62.23,180.0,bottom
D105,247.65,-62.23,180.0,bottom
D106,228.6,-62.23,180.0,bottom
D107,209.55,-62.23,180.0,bottom
D108,190.5,-62.23,180.0,bottom
D109,171.45,-62.23,180.0,bottom
D11,252.4125,-32.0,90.0,bottom
D110,152.4,-62.23,180.0,bottom
D111,133.35,-62.23,180.0,bottom
D112,114.3,-62.23,180.0,bottom
D113,95.25,-62.23,180.0,bottom
D114,76.2,-62.23,180.0,bottom
D115,57.15,-62.23,180.0,bottom
D116,38.1,-62.23,180.0,bottom
D117,42.8625,-81.28,0.0,bottom
