Designator,Mid X,Mid Y,Rotation,Layer
,659.60625,-245.26875,0.0,top
BRD1,647.7,-257.175,0.0,top
C1,662.5,-310.0,0.0,top
C2,662.4625,-313.0,180.0,top
C3,662.5,-321.5,180.0,top
C4,662.5,-318.49,180.0,top
C5,662.5,-315.48,180.0,top
C6,654.432379,-363.65,0.0,top
D1,299.5565,-252.5248,90.0,bottom
D10,509.1065,-252.5248,90.0,bottom
D100,464.3438,-290.5125,0.0,bottom
D101,483.3938,-290.5125,0.0,bottom
D102,492.9188,-290.5125,0.0,bottom
D103,502.4438,-290.5125,0.0,bottom
D104,521.4938,-290.5125,0.0,bottom
D105,540.5438,-290.5125,0.0,bottom
D106,559.5938,-290.5125,0.0,bottom
D107,583.4063,-290.5125,0.0,bottom
D108,602.4563,-290.5125,0.0,bottom
D109,621.5063,-290.5125,0.0,bottom
D11,528.1565,-252.5248,90.0,bottom
D110,621.5063,-309.5625,0.0,bottom
D111,602.4563,-309.5625,0.0,bottom
D112,581.025,-309.5625,0.0,bottom
D113,552.5188,-320.7375,0.0,bottom
D114,557.2813,-301.6875,0.0,bottom
D115,531.0875,-308.8312,0.0,bottom
D116,512.0375,-308.8312,0.0,bottom
D117,492.9875,-308.8312,0.0,bottom
D118,471.4875,-309.5625,0.0,bottom
D119,454.8188,-309.5625,0.0,bottom
D12,547.2065,-252.5248,90.0,bottom
D120,435.8375,-308.8312,0.0,bottom
D121,414.3375,-309.5625,0.0,bottom
D122,397.6688,-308.8312,0.0,bottom
D123,381.0688,-308.8312,0.0,bottom
D124,359.5688,-309.5625,0.0,bottom
D125,340.5875,-308.8312,0.0,bottom
D126,321.4688,-309.5625,0.0,bottom
D127,297.6563,-309.5625,0.0,bottom
D128,297.725,-327.8812,0.0,bottom
D129,323.9188,-330.2625,0.0,bottom
D13,566.2565,-252.5248,90.0,bottom
D130,345.35,-327.8812,0.0,bottom
D131,364.4,-327.8812,0.0,bottom
D132,383.3813,-328.6125,0.0,bottom
D133,402.5,-327.8812,0.0,bottom
D134,421.55,-327.8812,0.0,bottom
D135,440.5313,-328.6125,0.0,bottom
D136,459.5125,-327.8812,0.0,bottom
D137,478.6313,-328.6125,0.0,bottom
D138,497.6813,-328.6125,0.0,bottom
D139,516.8,-329.0575,0.0,bottom
D14,590.069,-252.5248,90.0,bottom
D140,595.3125,-347.6625,0.0,bottom
D141,635.7938,-364.3312,0.0,bottom
D142,614.3625,-364.3312,0.0,bottom
D143,597.625,-365.0625,0.0,bottom
D144,576.2625,-364.3312,0.0,bottom
D145,550.0,-365.0625,0.0,bottom
D146,528.6375,-364.3312,0.0,bottom
D147,504.825,-364.3312,0.0,bottom
D148,481.0813,-365.9812,0.0,bottom
D149,449.9875,-360.3,0.0,bottom
D15,609.119,-252.5248,90.0,bottom
D150,435.7,-362.6812,0.0,bottom
D151,414.3375,-366.7125,0.0,bottom
D152,395.2875,-361.95,0.0,bottom
D153,378.6875,-361.2187,0.0,bottom
D154,342.9688,-365.9812,0.0,bottom
D155,316.7063,-366.7125,0.0,bottom
D156,292.9625,-365.9812,0.0,bottom
D157,304.7313,-346.9312,0.0,bottom
D158,314.3938,-320.7375,0.0,bottom
D159,635.79375,-273.84375,0.0,top
D16,628.169,-252.5248,90.0,bottom
D160,642.9375,-273.84375,0.0,top
D161,650.08125,-273.84375,0.0,top
D162,635.79375,-280.9875,90.0,top
D163,642.41375,-280.9875,90.0,top
D164,649.03375,-280.9875,90.0,top
D165,661.9875,-290.5125,90.0,top
D166,647.76875,-306.45,0.0,top
D167,621.575,-344.55,0.0,top
D168,662.375,-324.0,0.0,top
D169,662.375,-326.59,0.0,top
D17,299.5565,-281.0998,90.0,bottom
D18,318.6065,-281.0998,90.0,bottom
D19,337.6565,-281.0998,90.0,bottom
D2,337.6565,-252.5248,90.0,bottom
D20,356.7065,-281.0998,90.0,bottom
D21,375.7565,-281.0998,90.0,bottom
D22,394.8065,-281.0998,90.0,bottom
D23,413.8565,-281.0998,90.0,bottom
D24,432.9065,-281.0998,90.0,bottom
D25,451.9565,-281.0998,90.0,bottom
D26,471.0065,-281.0998,90.0,bottom
D27,490.0565,-281.0998,90.0,bottom
D28,509.1065,-281.0998,90.0,bottom
D29,528.1565,-281.0998,90.0,bottom
D3,356.7065,-252.5248,90.0,bottom
D30,547.2065,-281.0998,90.0,bottom
D31,566.2565,-281.0998,90.0,bottom
D32,590.069,-281.0998,90.0,bottom
D33,609.119,-281.0998,90.0,bottom
D34,628.169,-281.0998,90.0,bottom
D35,304.319,-300.1498,90.0,bottom
D36,328.1315,-300.1498,90.0,bottom
D37,347.1815,-300.1498,90.0,bottom
D38,366.2315,-300.1498,90.0,bottom
D39,385.2815,-300.1498,90.0,bottom
D4,375.7565,-252.5248,90.0,bottom
D40,404.3315,-300.1498,90.0,bottom
D41,423.3815,-300.1498,90.0,bottom
D42,442.4315,-300.1498,90.0,bottom
D43,461.4815,-300.1498,90.0,bottom
D44,480.5315,-300.1498,90.0,bottom
D45,499.5815,-300.1498,90.0,bottom
D46,518.6315,-300.1498,90.0,bottom
D47,537.6815,-300.1498,90.0,bottom
D48,561.494,-309.6748,90.0,bottom
D49,590.069,-300.1498,90.0,bottom
D5,394.8065,-252.5248,90.0,bottom
D50,609.119,-300.1498,90.0,bottom
D51,628.169,-300.1498,90.0,bottom
D52,306.7003,-319.1998,90.0,bottom
D53,332.894,-319.1998,90.0,bottom
D54,351.944,-319.1998,90.0,bottom
D55,370.994,-319.1998,90.0,bottom
D56,390.044,-319.1998,90.0,bottom
D57,409.094,-319.1998,90.0,bottom
D58,428.144,-319.1998,90.0,bottom
D59,447.194,-319.1998,90.0,bottom
D6,423.3815,-252.5248,90.0,bottom
D60,466.244,-319.1998,90.0,bottom
D61,485.294,-319.1998,90.0,bottom
D62,504.344,-319.1998,90.0,bottom
D63,523.394,-319.1998,90.0,bottom
D64,311.4628,-338.2498,90.0,bottom
D65,342.419,-338.2498,90.0,bottom
D66,361.469,-338.2498,90.0,bottom
D67,380.519,-338.2498,90.0,bottom
D68,399.569,-338.2498,90.0,bottom
D69,418.619,-338.2498,90.0,bottom
D7,442.4315,-252.5248,90.0,bottom
D70,437.669,-338.2498,90.0,bottom
D71,456.719,-338.2498,90.0,bottom
D72,475.769,-338.2498,90.0,bottom
D73,494.819,-338.2498,90.0,bottom
D74,513.869,-338.2498,90.0,bottom
D75,549.5878,-338.2498,90.0,bottom
D76,609.119,-338.2498,90.0,bottom
D77,301.9378,-357.2998,90.0,bottom
D78,325.7503,-357.2998,90.0,bottom
D79,349.5628,-357.2998,90.0,bottom
D8,461.4815,-252.5248,90.0,bottom
D80,421.0003,-357.2998,90.0,bottom
D81,492.4378,-357.2998,90.0,bottom
D82,516.2503,-357.2998,90.0,bottom
D83,540.0628,-357.2998,90.0,bottom
D84,563.8753,-357.2998,90.0,bottom
D85,590.069,-357.2998,90.0,bottom
D86,609.119,-357.2998,90.0,bottom
D87,628.169,-357.2998,90.0,bottom
D88,648.1763,-357.5187,90.0,bottom
D89,307.1813,-252.4125,0.0,bottom
D9,480.5315,-252.5248,90.0,bottom
D90,328.0,-260.0,0.0,bottom
D91,311.9438,-290.5125,0.0,bottom
D92,292.8938,-290.5125,0.0,bottom
D93,330.9938,-290.5125,0.0,bottom
D94,350.1125,-289.7812,0.0,bottom
D95,369.0938,-290.5125,0.0,bottom
D96,388.1438,-290.5125,0.0,bottom
D97,407.1938,-290.5125,0.0,bottom
D98,426.2438,-290.5125,0.0,bottom
D99,445.2938,-290.5125,0.0,bottom
J1,661.05,-354.975,90.0,top
R1,647.625,-241.225,0.0,bottom
R2,653.975,-241.3,0.0,bottom
R3,662.5,-329.5,0.0,top
R4,662.5,-332.45,0.0,top
R5,660.025,-344.38,0.0,top
R6,660.025,-347.5,0.0,top
SW1,291.9365,-254.5748,0.0,top
SW10,501.4865,-254.5748,0.0,top
SW11,520.5365,-254.5748,0.0,top
SW12,539.5865,-254.5748,0.0,top
SW13,558.6365,-254.5748,0.0,top
SW14,582.449,-254.5748,0.0,top
SW15,601.499,-254.5748,0.0,top
SW16,620.549,-254.5748,0.0,top
SW17,291.9365,-283.1498,0.0,top
SW18,310.9865,-283.1498,0.0,top
SW19,330.0365,-283.1498,0.0,top
SW2,330.0365,-254.5748,0.0,top
SW20,349.0865,-283.1498,0.0,top
SW21,368.1365,-283.1498,0.0,top
SW22,387.1865,-283.1498,0.0,top
SW23,406.2365,-283.1498,0.0,top
SW24,425.2865,-283.1498,0.0,top
SW25,444.3365,-283.1498,0.0,top
SW26,463.3865,-283.1498,0.0,top
SW27,482.4365,-283.1498,0.0,top
SW28,501.4865,-283.1498,0.0,top
SW29,520.5365,-283.1498,0.0,top
SW3,349.0865,-254.5748,0.0,top
SW30,539.5865,-283.1498,0.0,top
SW31,558.6365,-283.1498,0.0,top
SW32,582.449,-283.1498,0.0,top
SW33,601.499,-283.1498,0.0,top
SW34,620.549,-283.1498,0.0,top
SW35,296.699,-302.1998,0.0,top
SW36,320.5115,-302.1998,0.0,top
SW37,339.5615,-302.1998,0.0,top
SW38,358.6115,-302.1998,0.0,top
SW39,377.6615,-302.1998,0.0,top
SW4,368.1365,-254.5748,0.0,top
SW40,396.7115,-302.1998,0.0,top
SW41,415.7615,-302.1998,0.0,top
SW42,434.8115,-302.1998,0.0,top
SW43,453.8615,-302.1998,0.0,top
SW44,472.9115,-302.1998,0.0,top
SW45,491.9615,-302.1998,0.0,top
SW46,511.0115,-302.1998,0.0,top
SW47,530.0615,-302.1998,0.0,top
SW48,553.874,-311.7248,0.0,top
SW49,582.449,-302.1998,0.0,top
SW5,387.1865,-254.5748,0.0,top
SW50,601.499,-302.1998,0.0,top
SW51,620.549,-302.1998,0.0,top
SW52,299.0803,-321.2498,0.0,top
SW53,325.274,-321.2498,0.0,top
SW54,344.324,-321.2498,0.0,top
SW55,363.374,-321.2498,0.0,top
SW56,382.424,-321.2498,0.0,top
SW57,401.474,-321.2498,0.0,top
SW58,420.524,-321.2498,0.0,top
SW59,439.574,-321.2498,0.0,top
SW6,415.7615,-254.5748,0.0,top
SW60,458.624,-321.2498,0.0,top
SW61,477.674,-321.2498,0.0,top
SW62,496.724,-321.2498,0.0,top
SW63,515.774,-321.2498,0.0,top
SW64,303.8428,-340.2998,0.0,top
SW65,334.799,-340.2998,0.0,top
SW66,353.849,-340.2998,0.0,top
SW67,372.899,-340.2998,0.0,top
SW68,391.949,-340.2998,0.0,top
SW69,410.999,-340.2998,0.0,top
SW7,434.8115,-254.5748,0.0,top
SW70,430.049,-340.2998,0.0,top
SW71,449.099,-340.2998,0.0,top
SW72,468.149,-340.2998,0.0,top
SW73,487.199,-340.2998,0.0,top
SW74,506.249,-340.2998,0.0,top
SW75,541.9678,-340.2998,0.0,top
SW76,601.499,-340.2998,0.0,top
SW77,294.3178,-359.3498,0.0,top
SW78,318.1303,-359.3498,0.0,top
SW79,341.9428,-359.3498,0.0,top
SW8,453.8615,-254.5748,0.0,top
SW80,413.3803,-359.3498,0.0,top
SW81,484.8178,-359.3498,0.0,top
SW82,508.6303,-359.3498,0.0,top
SW83,532.4428,-359.3498,0.0,top
SW84,556.2553,-359.3498,0.0,top
SW85,582.449,-359.3498,0.0,top
SW86,601.499,-359.3498,0.0,top
SW87,620.549,-359.3498,0.0,top
SW88,640.5563,-359.5687,0.0,top
SW9,472.9115,-254.5748,0.0,top
U1,648.335,-314.96,0.0,bottom
