Designator,Mid X,Mid Y,Rotation,Layer
C23,126.955125,-113.52125,180.0,top
C24,131.5645,-107.72125,270.0,top
C25,125.611375,-107.72125,0.0,top
D1,105.37075,-123.99875,90.0,bottom
D10,162.52075,-123.99875,90.0,bottom
D11,176.80825,-143.04875,90.0,bottom
D12,176.80825,-162.09875,90.0,bottom
D13,181.57075,-123.99875,90.0,bottom
D14,195.85825,-143.04875,90.0,bottom
D15,195.85825,-162.09875,90.0,bottom
D16,200.62075,-123.99875,90.0,bottom
D17,214.90825,-143.04875,90.0,bottom
D18,214.90825,-162.09875,90.0,bottom
D19,219.67075,-123.99875,90.0,bottom
D2,124.42075,-123.99875,90.0,bottom
D20,233.95825,-143.04875,90.0,bottom
D21,233.95825,-162.09875,90.0,bottom
D22,238.72075,-123.99875,90.0,bottom
D23,253.00825,-143.04875,90.0,bottom
D24,253.00825,-162.09875,90.0,bottom
D25,257.77075,-123.99875,90.0,bottom
D26,272.05825,-143.04875,90.0,bottom
D27,272.05825,-162.09875,90.0,bottom
D28,276.82075,-123.99875,90.0,bottom
D29,291.10825,-143.04875,90.0,bottom
D3,143.47075,-123.99875,90.0,bottom
D30,291.10825,-162.09875,90.0,bottom
D31,295.87075,-123.99875,90.0,bottom
D32,310.15825,-143.04875,90.0,bottom
D33,310.15825,-162.09875,90.0,bottom
D34,106.2645,-114.711875,180.0,top
D37,314.92075,-123.99875,90.0,bottom
D38,329.20825,-143.04875,90.0,bottom
D39,329.20825,-162.09875,90.0,bottom
D4,104.180125,-152.811875,0.0,bottom
D40,333.97075,-123.99875,90.0,bottom
D41,348.25825,-143.04875,90.0,bottom
D42,348.25825,-171.861875,0.0,bottom
D43,107.752,-190.911875,0.0,bottom
D44,105.37075,-200.19875,90.0,bottom
D45,143.47075,-181.386875,90.0,bottom
D46,124.42075,-200.19875,90.0,bottom
D47,162.52075,-181.14875,90.0,bottom
D48,143.47075,-200.19875,90.0,bottom
D49,181.57075,-181.14875,90.0,bottom
D5,138.70825,-143.04875,90.0,bottom
D50,224.43325,-200.19875,90.0,bottom
D51,200.62075,-181.14875,90.0,bottom
D52,305.39575,-200.19875,90.0,bottom
D53,219.67075,-181.14875,90.0,bottom
