Designator,Mid X,Mid Y,Rotation,Layer
C1,208.475125,-111.14,0.0,top
C10,202.522,-111.14,0.0,top
C11,202.522,-109.949375,0.0,top
C12,201.331375,-108.75875,0.0,top
C13,221.572,-109.949375,0.0,top
C14,223.95325,-111.14,0.0,top
C15,218.480125,-114.711875,0.0,top
C16,224.43325,-114.711875,0.0,top
C2,208.475125,-112.330625,0.0,top
C23,126.955125,-113.52125,180.0,top
C24,131.5645,-107.72125,270.0,top
C25,125.611375,-107.72125,0.0,top
C3,184.192625,-107.568125,0.0,top
C4,222.292625,-107.568125,0.0,top
C5,200.62075,-109.949375,0.0,top
C6,221.341375,-112.330625,0.0,top
C7,221.572,-111.14,0.0,top
C8,223.95325,-109.949375,0.0,top
C9,223.95325,-112.330625,0.0,top
D1,105.37075,-123.99875,90.0,bottom
D10,162.52075,-123.99875,90.0,bottom
D11,172.04575,-143.04875,90.0,bottom
D12,172.04575,-162.09875,90.0,bottom
D13,181.57075,-123.99875,90.0,bottom
D14,191.09575,-143.04875,90.0,bottom
D15,191.09575,-162.09875,90.0,bottom
D16,200.62075,-123.99875,90.0,bottom
D17,210.14575,-143.04875,90.0,bottom
D18,210.14575,-162.09875,90.0,bottom
D19,219.67075,-123.99875,90.0,bottom
D2,124.42075,-123.99875,90.0,bottom
D20,229.19575,-143.04875,90.0,bottom
D21,229.19575,-162.09875,90.0,bottom
D22,238.72075,-123.99875,90.0,bottom
D23,248.24575,-143.04875,90.0,bottom
D24,248.24575,-162.09875,90.0,bottom
D25,257.77075,-123.99875,90.0,bottom
D26,267.29575,-143.04875,90.0,bottom
D27,267.29575,-162.09875,90.0,bottom
D28,276.82075,-123.99875,90.0,bottom
D29,286.34575,-143.04875,90.0,bottom
D3,143.47075,-123.99875,90.0,bottom
D30,286.34575,-162.09875,90.0,bottom
D31,295.87075,-123.99875,90.0,bottom
D32,305.39575,-143.04875,90.0,bottom
D33,305.39575,-162.09875,90.0,bottom
D34,106.2645,-114.711875,180.0,top
D37,314.92075,-123.99875,90.0,bottom
D38,324.44575,-143.04875,90.0,bottom
D39,324.44575,-162.09875,90.0,bottom
D4,104.180125,-152.811875,0.0,bottom
D40,333.97075,-123.99875,90.0,bottom
D41,343.49575,-143.04875,90.0,bottom
D42,348.25825,-171.861875,0.0,bottom
D43,107.752,-190.911875,0.0,bottom
D44,110.13325,-200.19875,90.0,bottom
D45,143.47075,-181.386875,90.0,bottom
D46,133.94575,-200.19875,90.0,bottom
D47,162.52075,-181.14875,90.0,bottom
D48,157.75825,-200.436875,90.0,bottom
D49,181.57075,-181.14875,90.0,bottom
D5,133.94575,-143.04875,90.0,bottom
D50,224.43325,-200.19875,90.0,bottom
D51,200.62075,-181.14875,90.0,bottom
D52,300.63325,-200.19875,90.0,bottom
D53,219.67075,-181.14875,90.0,bottom
D54,324.44575,-200.19875,90.0,bottom
D55,238.72075,-181.14875,90.0,bottom
D56,343.49575,-200.19875,90.0,bottom
D57,257.77075,-181.14875,90.0,bottom
D58,364.927,-200.19875,90.0,bottom
D59,276.82075,-181.14875,90.0,bottom
D6,152.99575,-143.04875,90.0,bottom
D61,295.87075,-181.14875,90.0,bottom
D63,314.92075,-181.14875,90.0,bottom
D67,350.6395,-181.14875,90.0,bottom
D7,105.37075,-171.861875,0.0,bottom
D71,351.830125,-133.761875,0.0,bottom
D72,367.30825,-143.04875,90.0,bottom
D8,133.94575,-162.09875,90.0,bottom
D9,152.99575,-162.09875,90.0,bottom
J1,97.036375,-109.949375,180.0,top
J2,152.99575,-109.949375,180.0,top
J4,164.902,-109.949375,180.0,top
J5,176.80825,-109.949375,180.0,top
R1,105.37075,-110.949375,270.0,top
R14,132.755125,-114.330625,270.0,top
R15,138.303607,-109.94937,0.0,top
R16,136.327,-114.52125,90.0,top
R17,139.898875,-114.711875,270.0,top
R18,183.952,-113.661875,270.0,top
R19,143.47075,-114.52125,270.0,top
R2,89.892625,-113.711875,90.0,top
R3,201.301375,-114.711875,0.0,top
R4,188.2045,-107.568125,0.0,top
R5,203.682625,-114.711875,0.0,top
R6,184.632625,-195.674375,0.0,bottom
R7,187.013875,-195.674375,0.0,bottom
S1,95.84575,-123.2625,0.0,top
S10,152.99575,-123.2625,0.0,top
S11,162.52075,-142.3125,0.0,top
S12,162.52075,-161.3625,0.0,top
S13,172.04575,-123.2625,0.0,top
S14,181.57075,-142.3125,0.0,top
S15,181.57075,-161.3625,0.0,top
S16,191.09575,-123.2625,0.0,top
S17,200.62075,-142.3125,0.0,top
S18,200.62075,-161.3625,0.0,top
S19,210.14575,-123.2625,0.0,top
S2,114.89575,-123.2625,0.0,top
S20,219.67075,-142.3125,0.0,top
S21,219.67075,-161.3625,0.0,top
S22,229.19575,-123.2625,0.0,top
S23,238.72075,-142.3125,0.0,top
S24,238.72075,-161.3625,0.0,top
S25,248.24575,-123.2625,0.0,top
S26,257.77075,-142.3125,0.0,top
S27,257.77075,-161.3625,0.0,top
S28,267.29575,-123.2625,0.0,top
S29,276.82075,-142.3125,0.0,top
S3,133.94575,-123.2625,0.0,top
S30,276.82075,-161.3625,0.0,top
S31,286.34575,-123.2625,0.0,top
S32,295.87075,-142.3125,0.0,top
S33,295.87075,-161.3625,0.0,top
S37,305.39575,-123.2625,0.0,top
S38,314.92075,-142.3125,0.0,top
S39,314.92075,-161.3625,0.0,top
S4,100.60825,-142.3125,0.0,top
S40,324.44575,-123.2625,0.0,top
S41,333.97075,-142.3125,0.0,top
S42,345.877,-161.3625,0.0,top
S43,105.37075,-180.4125,0.0,top
S44,98.227,-199.4625,0.0,top
S45,133.94575,-180.4125,0.0,top
S46,122.0395,-199.4625,0.0,top
S47,152.99575,-180.4125,0.0,top
S48,145.852,-199.4625,0.0,top
S49,172.04575,-180.4125,0.0,top
S5,124.42075,-142.3125,0.0,top
S50,217.2895,-199.4625,0.0,top
S51,191.09575,-180.4125,0.0,top
S52,288.727,-199.4625,0.0,top
S53,210.14575,-180.4125,0.0,top
S54,312.5395,-199.4625,0.0,top
S55,229.19575,-180.4125,0.0,top
S56,333.97075,-199.4625,0.0,top
S57,248.24575,-180.4125,0.0,top
S58,355.402,-199.4625,0.0,top
S59,267.29575,-180.4125,0.0,top
S6,143.47075,-142.3125,0.0,top
S61,286.34575,-180.4125,0.0,top
S63,305.39575,-180.4125,0.0,top
S67,341.1145,-180.4125,0.0,top
S7,100.60825,-161.3625,0.0,top
S71,350.6395,-123.2625,0.0,top
S72,355.402,-142.3125,0.0,top
S8,124.42075,-161.3625,0.0,top
S9,143.47075,-161.3625,0.0,top
SW1,199.430125,-199.24625,0.0,bottom
U1,116.48325,-110.818125,0.0,top
U2,215.677,-110.030625,180.0,top
U3,194.6395,-111.14,270.0,top
U4,179.1895,-200.3525,0.0,bottom
Y1,207.855125,-107.90875,0.0,top
