Designator,Mid X,Mid Y,Rotation,Layer
D1,177.93,-66.24,90.0,bottom
D10,141.93,-80.25,90.0,bottom
D11,141.93,-96.94,90.0,bottom
D12,144.17,-120.82775,0.0,bottom
D13,123.93,-63.45,90.0,bottom
D14,123.93,-80.45,90.0,bottom
D15,123.945,-97.15275,90.0,bottom
D16,105.93,-68.35,90.0,bottom
D17,105.93,-85.35,90.0,bottom
D18,105.93,-102.35,90.0,bottom
D19,87.93,-68.35,90.0,bottom
D2,177.93,-83.65,90.0,bottom
D20,87.93,-85.35,90.0,bottom
D21,87.93,-101.94,90.0,bottom
D3,177.93,-100.35,90.0,bottom
D4,186.743591,-110.78359,210.0,bottom
D5,159.93,-64.95,90.0,bottom
D6,159.93,-81.95,90.0,bottom
D7,159.93,-98.44,90.0,bottom
D8,160.459898,-122.712648,15.0,bottom
D9,141.93,-63.25,90.0,bottom
SW1,168.93,-62.79,0.0,top
SW10,132.93,-75.89,0.0,top
SW11,132.93,-92.89,0.0,top
SW12,144.596298,-111.63975,0.0,top
SW13,114.93,-60.89,0.0,top
SW14,114.93,-77.89,0.0,top
SW15,114.93,-94.89,0.0,top
SW16,96.93,-64.69,0.0,top
SW17,96.93,-81.69,0.0,top
SW18,96.93,-98.69,0.0,top
SW19,78.93,-64.69,0.0,top
SW2,168.93,-79.79,0.0,top
SW20,78.93,-81.69,0.0,top
SW21,78.93,-98.69,0.0,top
SW3,168.93,-96.79,0.0,top
SW4,180.781171,-121.429719,330.0,top
SW5,150.93,-60.89,0.0,top
SW6,150.93,-77.89,0.0,top
SW7,150.93,-94.89,0.0,top
SW8,162.596298,-113.88975,345.0,top
SW9,132.93,-58.89,0.0,top
U1,191.572,-80.00775,0.0,top
U3,198.295,-109.927749,90.0,bottom
