Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,62,1N4148,
"SW1, SW10, SW11, SW12, SW13, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW6, SW7, SW8, SW9",MX-Alps-Hybrid-1U,48,SW_Push,
SW14,MX-Alps-Hybrid-2U,1,SW_Push,
SW15,MX-Alps-Hybrid-1.5U,1,SW_Push,
SW28,MX-Alps-Hybrid-1.75U,1,SW_Push,
SW41,MX-Alps-Hybrid-ISO,1,SW_Push,
"SW42, SW55, SW56, SW57, SW59, SW60, SW61, SW62",MX-Alps-Hybrid-1.25U,8,SW_Push,
SW54,MX-Alps-Hybrid-2.75U,1,SW_Push,
SW58,MX-Alps-Hybrid-6.25U,1,SW_Push,
U1,RPi_Pico_SMD_TH,1,Pico,
