Designator,Mid X,Mid Y,Rotation,Layer
D1,49.8475,-78.1187,90.0,bottom
D10,221.2975,-78.1187,90.0,bottom
D11,240.3475,-78.1187,90.0,bottom
D12,259.3975,-78.1187,90.0,bottom
D13,278.4475,-78.1187,90.0,bottom
D14,307.0225,-78.1187,90.0,bottom
D15,59.3725,-97.1687,90.0,bottom
D16,78.4225,-97.1687,90.0,bottom
D17,97.4725,-97.1687,90.0,bottom
D18,116.5225,-97.1687,90.0,bottom
D19,135.5725,-97.1687,90.0,bottom
D2,68.8975,-78.1187,90.0,bottom
D20,154.6225,-97.1687,90.0,bottom
D21,173.6725,-97.1687,90.0,bottom
D22,192.7225,-97.1687,90.0,bottom
D23,211.7725,-97.1687,90.0,bottom
D24,230.8225,-97.1687,90.0,bottom
D25,249.8725,-97.1687,90.0,bottom
D26,268.9225,-97.1687,90.0,bottom
D27,287.9725,-97.1687,90.0,bottom
D28,57.7675,-118.4737,90.0,bottom
D29,83.185,-116.9987,90.0,bottom
D3,87.9475,-78.1187,90.0,bottom
D30,102.235,-116.9987,90.0,bottom
D31,121.285,-116.9987,90.0,bottom
D32,140.335,-116.9987,90.0,bottom
D33,159.385,-116.9987,90.0,bottom
D34,178.435,-116.9987,90.0,bottom
D35,197.485,-116.9987,90.0,bottom
D36,216.535,-116.9987,90.0,bottom
D37,235.585,-116.9987,90.0,bottom
D38,254.635,-116.9987,90.0,bottom
D39,273.685,-116.9987,90.0,bottom
D4,106.9975,-78.1187,90.0,bottom
D40,292.735,-116.9987,90.0,bottom
D41,314.1663,-106.045,90.0,bottom
D42,54.61,-136.0487,90.0,bottom
D43,73.66,-136.0487,90.0,bottom
D44,92.71,-136.0487,90.0,bottom
D45,111.76,-136.0487,90.0,bottom
D46,130.81,-136.0487,90.0,bottom
D47,149.86,-136.0487,90.0,bottom
D48,168.91,-136.0487,90.0,bottom
D49,187.96,-136.0487,90.0,bottom
D5,126.0475,-78.1187,90.0,bottom
D50,207.01,-136.0487,90.0,bottom
D51,226.06,-136.0487,90.0,bottom
D52,245.11,-136.0487,90.0,bottom
D53,264.16,-136.0487,90.0,bottom
D54,299.8788,-136.0487,90.0,bottom
D55,54.61,-155.0987,90.0,bottom
D56,78.4225,-155.0987,90.0,bottom
D57,102.235,-155.0987,90.0,bottom
D58,173.6725,-155.0987,90.0,bottom
D59,245.11,-155.0987,90.0,bottom
D6,145.0975,-78.1187,90.0,bottom
D60,268.9225,-155.0987,90.0,bottom
D61,292.735,-155.0987,90.0,bottom
D62,314.1663,-155.0987,90.0,bottom
D7,164.1475,-78.1187,90.0,bottom
D8,183.1975,-78.1187,90.0,bottom
D9,202.2475,-78.1187,90.0,bottom
SW1,40.3225,-76.78065,0.0,top
SW10,211.7725,-76.78065,0.0,top
SW11,230.8225,-76.78065,0.0,top
SW12,249.8725,-76.78065,0.0,top
SW13,268.9225,-76.78065,0.0,top
SW14,297.4975,-79.76865,0.0,top
SW15,45.085,-95.83065,0.0,top
SW16,68.8975,-95.83065,0.0,top
SW17,87.9475,-95.83065,0.0,top
SW18,106.9975,-95.83065,0.0,top
SW19,126.0475,-95.83065,0.0,top
SW2,59.3725,-76.78065,0.0,top
SW20,145.0975,-95.83065,0.0,top
SW21,164.1475,-95.83065,0.0,top
SW22,183.1975,-95.83065,0.0,top
SW23,202.2475,-95.83065,0.0,top
SW24,221.2975,-95.83065,0.0,top
SW25,240.3475,-95.83065,0.0,top
SW26,259.3975,-95.83065,0.0,top
SW27,278.4475,-95.83065,0.0,top
SW28,47.4663,-114.88065,0.0,top
SW29,73.66,-114.88065,0.0,top
SW3,78.4225,-76.78065,0.0,top
SW30,92.71,-114.88065,0.0,top
SW31,111.76,-114.88065,0.0,top
SW32,130.81,-114.88065,0.0,top
SW33,149.86,-114.88065,0.0,top
SW34,168.91,-114.88065,0.0,top
SW35,187.96,-114.88065,0.0,top
SW36,207.01,-114.88065,0.0,top
SW37,226.06,-114.88065,0.0,top
SW38,245.11,-114.88065,0.0,top
SW39,264.16,-114.88065,0.0,top
SW4,97.4725,-76.78065,0.0,top
SW40,283.21,-114.88065,0.0,top
SW41,303.77135,-107.4737,0.0,top
SW42,42.7038,-133.93065,0.0,top
SW43,64.135,-133.93065,0.0,top
SW44,83.185,-133.93065,0.0,top
SW45,102.235,-133.93065,0.0,top
SW46,121.285,-133.93065,0.0,top
SW47,140.335,-133.93065,0.0,top
SW48,159.385,-133.93065,0.0,top
SW49,178.435,-133.93065,0.0,top
SW5,116.5225,-76.78065,0.0,top
SW50,197.485,-133.93065,0.0,top
SW51,216.535,-133.93065,0.0,top
SW52,235.585,-133.93065,0.0,top
SW53,254.635,-133.93065,0.0,top
SW54,290.3538,-136.91865,0.0,top
SW55,42.7038,-152.98065,0.0,top
SW56,66.5163,-152.98065,0.0,top
SW57,90.3288,-152.98065,0.0,top
SW58,161.7663,-155.96865,0.0,top
SW59,233.2038,-152.98065,0.0,top
SW6,135.5725,-76.78065,0.0,top
SW60,257.0163,-152.98065,0.0,top
SW61,280.8288,-152.98065,0.0,top
SW62,304.6413,-152.98065,0.0,top
SW7,154.6225,-76.78065,0.0,top
SW8,173.6725,-76.78065,0.0,top
SW9,192.7225,-76.78065,0.0,top
U1,333.365,-89.53,0.0,top
