Designator,Footprint,Quantity,Value,LCSC Part #
BRD1,128x64OLED,1,SSD1306,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C9, C_BMP_280",0805,89,1uF,
"C89, C92_MCP1, C_CH340",0805,3,10uF,
"C90, C91, C96, C97, C98",0805,5,100uF,
"C94, C95",0805,2,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",0805,88,D,
"DL1, DL10, DL11, DL12, DL13, DL14, DL15, DL16, DL17, DL18, DL19, DL2, DL20, DL21, DL22, DL23, DL24, DL25, DL26, DL27, DL28, DL29, DL3, DL30, DL31, DL32, DL33, DL34, DL35, DL36, DL37, DL38, DL39, DL4, DL40, DL41, DL42, DL43, DL44, DL45, DL46, DL47, DL48, DL49, DL5, DL50, DL51, DL52, DL53, DL54, DL55, DL56, DL57, DL58, DL59, DL6, DL60, DL61, DL62, DL63, DL64, DL65, DL66, DL67, DL68, DL69, DL7, DL70, DL71, DL72, DL73, DL74, DL75, DL76, DL77, DL78, DL79, DL8, DL80, DL81, DL82, DL83, DL84, DL85, DL86, DL87, DL88, DL9, STATUS_0, STATUS_1, STATUS_2, STATUS_3",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,92,SK6812MINI,
"GREEN1, GREEN2",0805,2,LED,
"J1, J9",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
J10,PinSocket_2x06_P2.54mm_Vertical_SMD,1,Conn_02x06_Odd_Even,
J2,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x02_Pin,
J3,PinHeader_2x01_P1.00mm_Vertical_SMD,1,Conn_02x01,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_ESP,
J5,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J7,PinSocket_1x02_P2.54mm_Vertical,1,Jumper,
J8,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
Q6,SOT-23,1,BSS138,
"R1, R45, R46, R6, R7",0805,5,10k,
"R2, R3",0805,2,4.7k,
"R4, R5",0805,2,5.1k,
"R47, R48",0805,2,300,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW72, SW73, SW74, SW75, SW77, SW78, SW79, SW8, SW80, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW9",SW_Cherry_MX_1.00u_PCB,82,SW_Push,
SW30,SW_Cherry_MX_2.00u_PCB,1,SW_Push_BACk,
SW47,SW_Cherry_MX_ISOEnter_PCB,1,SW_Push_Enter,
SW64,SW_Cherry_MX_1.25u_PCB,1,SW_Push,
SW71,SW_Cherry_MX_1.00u_PCB,1,SW_Pushs,
SW76,SW_Cherry_MX_2.75u_PCB,1,SW_Push_shift,
SW81,SW_Cherry_MX_6.25u_PCB,1,SW_Push_Space,
"U1, U7",SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,2,CH224K,
U2,RASPBERRY_PI_PICO,1,RASPBERRY_PI_PICO,
U3,ESP-12E,1,ESP-12F,
U4,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017_ML,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
