Designator,Mid X,Mid Y,Rotation,Layer
BRD1,609.95,-411.06,270.0,top
C1,229.85,-302.46,90.0,bottom
C10,439.4,-302.46,90.0,bottom
C11,458.45,-302.46,90.0,bottom
C12,477.5,-302.46,90.0,bottom
C13,496.55,-302.46,90.0,bottom
C14,520.3625,-302.46,90.0,bottom
C15,539.4125,-302.46,90.0,bottom
C16,558.4625,-302.46,90.0,bottom
C17,229.85,-331.035,90.0,bottom
C18,248.9,-331.035,90.0,bottom
C19,267.95,-331.035,90.0,bottom
C2,267.95,-302.46,90.0,bottom
C20,287.0,-331.035,90.0,bottom
C21,306.05,-331.035,90.0,bottom
C22,325.1,-331.035,90.0,bottom
C23,344.15,-331.035,90.0,bottom
C24,363.2,-331.035,90.0,bottom
C25,382.25,-331.035,90.0,bottom
C26,401.3,-331.035,90.0,bottom
C27,420.35,-331.035,90.0,bottom
C28,439.4,-331.035,90.0,bottom
C29,458.45,-331.035,90.0,bottom
C3,287.0,-302.46,90.0,bottom
C30,487.025,-331.035,90.0,bottom
C31,520.3625,-331.035,90.0,bottom
C32,539.4125,-331.035,90.0,bottom
C33,558.4625,-331.035,90.0,bottom
C34,234.6125,-350.085,90.0,bottom
C35,258.425,-350.085,90.0,bottom
C36,277.475,-350.085,90.0,bottom
C37,296.525,-350.085,90.0,bottom
C38,315.575,-350.085,90.0,bottom
C39,334.625,-350.085,90.0,bottom
C4,306.05,-302.46,90.0,bottom
C40,353.675,-350.085,90.0,bottom
C41,372.725,-350.085,90.0,bottom
C42,391.775,-350.085,90.0,bottom
C43,410.825,-350.085,90.0,bottom
C44,429.875,-350.085,90.0,bottom
C45,448.925,-350.085,90.0,bottom
C46,467.975,-350.085,90.0,bottom
C47,494.16875,-359.61,90.0,bottom
C48,520.3625,-350.085,90.0,bottom
C49,539.4125,-350.085,90.0,bottom
C5,325.1,-302.46,90.0,bottom
C50,558.4625,-350.085,90.0,bottom
C51,236.99375,-369.135,90.0,bottom
C52,263.1875,-369.135,90.0,bottom
C53,282.2375,-369.135,90.0,bottom
C54,301.2875,-369.135,90.0,bottom
C55,320.3375,-369.135,90.0,bottom
C56,339.3875,-369.135,90.0,bottom
C57,358.4375,-369.135,90.0,bottom
C58,377.4875,-369.135,90.0,bottom
C59,396.5375,-369.135,90.0,bottom
C6,353.675,-302.46,90.0,bottom
C60,415.5875,-369.135,90.0,bottom
C61,434.6375,-369.135,90.0,bottom
C62,453.6875,-369.135,90.0,bottom
C63,472.7375,-369.135,90.0,bottom
C64,232.23125,-388.185,90.0,bottom
C65,253.6625,-388.185,90.0,bottom
C66,272.7125,-388.185,90.0,bottom
C67,291.7625,-388.185,90.0,bottom
C68,310.8125,-388.185,90.0,bottom
C69,329.8625,-388.185,90.0,bottom
C7,372.725,-302.46,90.0,bottom
C70,348.9125,-388.185,90.0,bottom
C71,367.9625,-388.185,90.0,bottom
C72,387.0125,-388.185,90.0,bottom
C73,406.0625,-388.185,90.0,bottom
C74,425.1125,-388.185,90.0,bottom
C75,444.1625,-388.185,90.0,bottom
C76,479.88125,-388.185,90.0,bottom
C77,539.4125,-388.185,90.0,bottom
C78,232.23125,-407.235,90.0,bottom
C79,256.04375,-407.235,90.0,bottom
C8,391.775,-302.46,90.0,bottom
C80,279.85625,-407.235,90.0,bottom
C81,351.29375,-407.235,90.0,bottom
C82,422.73125,-407.235,90.0,bottom
C83,446.54375,-407.235,90.0,bottom
C84,470.35625,-407.235,90.0,bottom
C85,494.16875,-407.235,90.0,bottom
C86,520.3625,-407.235,90.0,bottom
C87,539.4125,-407.235,90.0,bottom
C88,558.4625,-407.235,90.0,bottom
C89,617.25,-409.5,270.0,bottom
C9,410.825,-302.46,90.0,bottom
C90,614.1,-337.9,270.0,top
C91,619.01,-337.9,90.0,bottom
C92_MCP1,604.0,-296.0,0.0,top
C94,606.0,-412.5,0.0,top
C95,582.0,-404.5,0.0,top
C96,624.45,-391.5,180.0,bottom
C97,624.5,-386.9,180.0,top
C98,618.30075,-287.25,180.0,bottom
C_BMP_280,619.5,-297.5,180.0,top
C_CH340,613.5,-406.5,180.0,bottom
D1,226.85,-299.46,90.0,bottom
D10,436.4,-299.46,90.0,bottom
D11,455.45,-299.46,90.0,bottom
D12,474.5,-299.46,90.0,bottom
D13,493.55,-299.46,90.0,bottom
D14,517.3625,-299.46,90.0,bottom
D15,536.4125,-299.46,90.0,bottom
D16,555.4625,-299.46,90.0,bottom
D17,226.85,-328.035,90.0,bottom
D18,245.9,-328.035,90.0,bottom
D19,264.95,-328.035,90.0,bottom
D2,264.95,-299.46,90.0,bottom
D20,284.0,-328.035,90.0,bottom
D21,303.05,-328.035,90.0,bottom
D22,322.1,-328.035,90.0,bottom
D23,341.15,-328.035,90.0,bottom
D24,360.2,-328.035,90.0,bottom
D25,379.25,-328.035,90.0,bottom
D26,398.3,-328.035,90.0,bottom
D27,417.35,-328.035,90.0,bottom
D28,436.4,-328.035,90.0,bottom
D29,455.45,-328.035,90.0,bottom
D3,284.0,-299.46,90.0,bottom
D30,484.025,-328.035,90.0,bottom
D31,517.3625,-328.035,90.0,bottom
D32,536.4125,-328.035,90.0,bottom
D33,555.4625,-328.035,90.0,bottom
D34,231.6125,-347.085,90.0,bottom
D35,255.425,-347.085,90.0,bottom
D36,274.475,-347.085,90.0,bottom
D37,293.525,-347.085,90.0,bottom
D38,312.575,-347.085,90.0,bottom
D39,331.625,-347.085,90.0,bottom
D4,303.05,-299.46,90.0,bottom
D40,350.675,-347.085,90.0,bottom
D41,369.725,-347.085,90.0,bottom
D42,388.775,-347.085,90.0,bottom
D43,407.825,-347.085,90.0,bottom
D44,426.875,-347.085,90.0,bottom
D45,445.925,-347.085,90.0,bottom
D46,464.975,-347.085,90.0,bottom
D47,491.16875,-356.61,90.0,bottom
D48,517.3625,-347.085,90.0,bottom
D49,536.4125,-347.085,90.0,bottom
D5,322.1,-299.46,90.0,bottom
D50,555.4625,-347.085,90.0,bottom
D51,233.99375,-366.135,90.0,bottom
D52,260.1875,-366.135,90.0,bottom
D53,279.2375,-366.135,90.0,bottom
D54,298.2875,-366.135,90.0,bottom
D55,317.3375,-366.135,90.0,bottom
D56,336.3875,-366.135,90.0,bottom
D57,355.4375,-366.135,90.0,bottom
D58,374.4875,-366.135,90.0,bottom
D59,393.5375,-366.135,90.0,bottom
D6,350.675,-299.46,90.0,bottom
D60,412.5875,-366.135,90.0,bottom
D61,431.6375,-366.135,90.0,bottom
D62,450.6875,-366.135,90.0,bottom
D63,469.7375,-366.135,90.0,bottom
D64,229.23125,-385.185,90.0,bottom
D65,250.6625,-385.185,90.0,bottom
D66,269.7125,-385.185,90.0,bottom
D67,288.7625,-385.185,90.0,bottom
D68,307.8125,-385.185,90.0,bottom
D69,326.8625,-385.185,90.0,bottom
D7,369.725,-299.46,90.0,bottom
D70,345.9125,-385.185,90.0,bottom
D71,364.9625,-385.185,90.0,bottom
D72,384.0125,-385.185,90.0,bottom
D73,403.0625,-385.185,90.0,bottom
D74,422.1125,-385.185,90.0,bottom
D75,441.1625,-385.185,90.0,bottom
D76,476.88125,-385.185,90.0,bottom
D77,536.4125,-385.185,90.0,bottom
D78,229.23125,-404.235,90.0,bottom
D79,253.04375,-404.235,90.0,bottom
D8,388.775,-299.46,90.0,bottom
D80,276.85625,-404.235,90.0,bottom
D81,348.29375,-404.235,90.0,bottom
D82,419.73125,-404.235,90.0,bottom
D83,443.54375,-404.235,90.0,bottom
D84,467.35625,-404.235,90.0,bottom
D85,491.16875,-404.235,90.0,bottom
D86,517.3625,-404.235,90.0,bottom
D87,536.4125,-404.235,90.0,bottom
D88,555.4625,-404.235,90.0,bottom
D9,407.825,-299.46,90.0,bottom
DL1,234.525,-305.3,90.0,bottom
DL10,442.4,-305.46,90.0,bottom
DL11,461.45,-305.46,90.0,bottom
DL12,480.5,-305.46,90.0,bottom
DL13,499.55,-305.46,90.0,bottom
DL14,523.3625,-305.46,90.0,bottom
DL15,542.4125,-305.46,90.0,bottom
DL16,561.4625,-305.46,90.0,bottom
DL17,232.85,-334.035,90.0,bottom
DL18,251.9,-334.035,90.0,bottom
DL19,270.95,-334.035,90.0,bottom
DL2,272.525,-305.3,90.0,bottom
DL20,290.0,-334.035,90.0,bottom
DL21,309.05,-334.035,90.0,bottom
DL22,328.1,-334.035,90.0,bottom
DL23,347.15,-334.035,90.0,bottom
DL24,366.2,-334.035,90.0,bottom
DL25,385.25,-334.035,90.0,bottom
DL26,404.3,-334.035,90.0,bottom
DL27,423.35,-334.035,90.0,bottom
DL28,442.4,-334.035,90.0,bottom
DL29,457.5,-336.25,90.0,bottom
DL3,290.525,-305.3,90.0,bottom
DL30,494.675,-333.7,90.0,bottom
DL31,523.3625,-334.035,90.0,bottom
DL32,542.4125,-334.035,90.0,bottom
DL33,561.4625,-334.035,90.0,bottom
DL34,237.6125,-353.085,90.0,bottom
DL35,261.425,-353.085,90.0,bottom
DL36,280.475,-353.085,90.0,bottom
DL37,299.525,-353.085,90.0,bottom
DL38,318.575,-353.085,90.0,bottom
DL39,337.625,-353.085,90.0,bottom
DL4,309.05,-305.46,90.0,bottom
DL40,356.675,-353.085,90.0,bottom
DL41,375.725,-353.085,90.0,bottom
DL42,394.775,-353.085,90.0,bottom
DL43,413.825,-353.085,90.0,bottom
DL44,432.875,-353.085,90.0,bottom
DL45,451.925,-353.085,90.0,bottom
DL46,470.975,-353.085,90.0,bottom
DL47,497.16875,-362.61,90.0,bottom
DL48,523.3625,-353.085,90.0,bottom
DL49,542.4125,-353.085,90.0,bottom
DL5,328.1,-305.46,90.0,bottom
DL50,561.4625,-353.085,90.0,bottom
DL51,239.99375,-372.135,90.0,bottom
DL52,266.1875,-372.135,90.0,bottom
DL53,285.2375,-372.135,90.0,bottom
DL54,304.2875,-372.135,90.0,bottom
DL55,323.3375,-372.135,90.0,bottom
DL56,342.3875,-372.135,90.0,bottom
DL57,361.4375,-372.135,90.0,bottom
DL58,380.4875,-372.135,90.0,bottom
DL59,399.5375,-372.135,90.0,bottom
DL6,356.675,-305.46,90.0,bottom
DL60,418.5875,-372.135,90.0,bottom
DL61,437.6375,-372.135,90.0,bottom
DL62,456.6875,-372.135,90.0,bottom
DL63,481.5,-372.0,90.0,bottom
DL64,235.23125,-391.185,90.0,bottom
DL65,256.6625,-391.185,90.0,bottom
DL66,275.7125,-391.185,90.0,bottom
DL67,294.7625,-391.185,90.0,bottom
DL68,313.8125,-391.185,90.0,bottom
DL69,332.8625,-391.185,90.0,bottom
DL7,375.725,-305.46,90.0,bottom
DL70,351.9125,-391.185,90.0,bottom
DL71,370.9625,-391.185,90.0,bottom
DL72,390.0125,-391.185,90.0,bottom
DL73,409.0625,-391.185,90.0,bottom
DL74,428.1125,-391.185,90.0,bottom
DL75,447.1625,-391.185,90.0,bottom
DL76,485.85,-390.6,90.0,bottom
DL77,542.4125,-391.185,90.0,bottom
DL78,235.23125,-410.235,90.0,bottom
DL79,259.04375,-410.235,90.0,bottom
DL8,394.775,-305.46,90.0,bottom
DL80,282.85625,-410.235,90.0,bottom
DL81,354.29375,-410.235,90.0,bottom
DL82,425.73125,-410.235,90.0,bottom
DL83,449.54375,-410.235,90.0,bottom
DL84,473.35625,-410.235,90.0,bottom
DL85,497.16875,-410.235,90.0,bottom
DL86,523.3625,-410.235,90.0,bottom
DL87,542.4125,-410.235,90.0,bottom
DL88,561.4625,-410.235,90.0,bottom
DL9,413.825,-305.46,90.0,bottom
GREEN1,593.05,-321.85,0.0,top
GREEN2,593.25,-319.05,0.0,top
J1,627.425,-319.68,90.0,top
J10,584.26,-301.33,270.0,top
J2,618.30075,-287.25,270.0,top
J3,598.1,-307.75,0.0,top
J4,627.5,-399.5,90.0,top
J5,614.475,-301.775,270.0,top
J7,606.65,-417.78,0.0,top
J8,570.77,-416.4,270.0,top
J9,627.45,-331.35,90.0,top
Q6,582.275,-281.9625,270.0,bottom
R1,606.45,-318.8,0.0,top
R2,596.6,-410.9,180.0,bottom
R3,596.6,-407.95,180.0,bottom
R4,627.5,-400.5,0.0,bottom
R45,582.3625,-286.3625,0.0,bottom
R46,582.3625,-277.8625,180.0,top
R47,589.0,-321.9,0.0,bottom
R48,588.9,-318.95,0.0,bottom
R5,627.5,-397.0,0.0,bottom
R6,591.85,-409.45,270.0,bottom
R7,607.0,-325.25,270.0,top
STATUS_0,566.9,-287.075,0.0,bottom
STATUS_1,594.625,-282.0,90.0,top
STATUS_2,599.5,-282.25,90.0,top
STATUS_3,604.5,-282.25,90.0,top
SW1,219.31,-297.45,0.0,top
SW10,428.86,-297.45,0.0,top
SW11,447.91,-297.45,0.0,top
SW12,466.96,-297.45,0.0,top
SW13,486.01,-297.45,0.0,top
SW14,509.8225,-297.45,0.0,top
SW15,528.8725,-297.45,0.0,top
SW16,547.9225,-297.45,0.0,top
SW17,219.31,-326.025,0.0,top
SW18,238.36,-326.025,0.0,top
SW19,257.41,-326.025,0.0,top
SW2,257.41,-297.45,0.0,top
SW20,276.46,-326.025,0.0,top
SW21,295.51,-326.025,0.0,top
SW22,314.56,-326.025,0.0,top
SW23,333.61,-326.025,0.0,top
SW24,352.66,-326.025,0.0,top
SW25,371.71,-326.025,0.0,top
SW26,390.76,-326.025,0.0,top
SW27,409.81,-326.025,0.0,top
SW28,428.86,-326.025,0.0,top
SW29,447.91,-326.025,0.0,top
SW3,276.46,-297.45,0.0,top
SW30,476.485,-328.9725,0.0,top
SW31,509.8225,-326.025,0.0,top
SW32,528.8725,-326.025,0.0,top
SW33,547.9225,-326.025,0.0,top
SW34,224.0725,-345.075,0.0,top
SW35,247.885,-345.075,0.0,top
SW36,266.935,-345.075,0.0,top
SW37,285.985,-345.075,0.0,top
SW38,305.035,-345.075,0.0,top
SW39,324.085,-345.075,0.0,top
SW4,295.51,-297.45,0.0,top
SW40,343.135,-345.075,0.0,top
SW41,362.185,-345.075,0.0,top
SW42,381.235,-345.075,0.0,top
SW43,400.285,-345.075,0.0,top
SW44,419.335,-345.075,0.0,top
SW45,438.385,-345.075,0.0,top
SW46,457.435,-345.075,0.0,top
SW47,484.48625,-356.69,0.0,top
SW48,509.8225,-345.075,0.0,top
SW49,528.8725,-345.075,0.0,top
SW5,314.56,-297.45,0.0,top
SW50,547.9225,-345.075,0.0,top
SW51,226.45375,-364.125,0.0,top
SW52,252.6475,-364.125,0.0,top
SW53,271.6975,-364.125,0.0,top
SW54,290.7475,-364.125,0.0,top
SW55,309.7975,-364.125,0.0,top
SW56,328.8475,-364.125,0.0,top
SW57,347.8975,-364.125,0.0,top
SW58,366.9475,-364.125,0.0,top
SW59,385.9975,-364.125,0.0,top
SW6,343.135,-297.45,0.0,top
SW60,405.0475,-364.125,0.0,top
SW61,424.0975,-364.125,0.0,top
SW62,443.1475,-364.125,0.0,top
SW63,462.1975,-364.125,0.0,top
SW64,221.69125,-383.175,0.0,top
SW65,243.1225,-383.175,0.0,top
SW66,262.1725,-383.175,0.0,top
SW67,281.2225,-383.175,0.0,top
SW68,300.2725,-383.175,0.0,top
SW69,319.3225,-383.175,0.0,top
SW7,362.185,-297.45,0.0,top
SW70,338.3725,-383.175,0.0,top
SW71,357.4225,-383.175,0.0,top
SW72,376.4725,-383.175,0.0,top
SW73,395.5225,-383.175,0.0,top
SW74,414.5725,-383.175,0.0,top
SW75,433.6225,-383.175,0.0,top
SW76,469.34125,-386.1225,0.0,top
SW77,528.8725,-383.175,0.0,top
SW78,221.69125,-402.225,0.0,top
SW79,245.50375,-402.225,0.0,top
SW8,381.235,-297.45,0.0,top
SW80,269.31625,-402.225,0.0,top
SW81,340.75375,-405.1725,0.0,top
SW82,412.19125,-402.225,0.0,top
SW83,436.00375,-402.225,0.0,top
SW84,459.81625,-402.225,0.0,top
SW85,483.62875,-402.225,0.0,top
SW86,509.8225,-402.225,0.0,top
SW87,528.8725,-402.225,0.0,top
SW88,547.9225,-402.225,0.0,top
SW9,400.285,-297.45,0.0,top
U1,614.8625,-319.5,270.0,bottom
U2,598.39,-301.39,90.0,bottom
U3,594.1,-408.0,0.0,top
U4,598.45,-301.42,180.0,top
U6,623.0,-411.0,180.0,bottom
U7,604.45,-330.1625,270.0,top
U8,613.975,-399.595,90.0,top
