Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
BRD1,SSD1306_0.96_Oled,1,SSD1306,
C1,0805,1,1uf,
"C2, C3, C4, C5",0805,4,C_Small,
C6,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",D_MiniMELF_Handsoldering,88,D,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,79,WS2812B,
"D168, D169",0603,2,Green LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0805,2,4.7kΩ,
R3,0805,1,220Ω,
R4,0805,1,100Ω,
"R5, R6",0805,2,5.1k,
"S1, S3, S4",Stabilizer_Cherry_MX_2.00u,3,MX_stab,
S2,Stabilizer_Cherry_MX_6.25u,1,MX_stab,
S5,Stabilizer_Cherry_MX_3.00u,1,MX_stab,
"SW1, SW3, SW70, SW72",SW_Cherry_MX_1.50u_PCB,4,SW_Push,
"SW10, SW11, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW56, SW57, SW58, SW59, SW60, SW62, SW63, SW64, SW65, SW67, SW68, SW69, SW7, SW71, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW9",SW_Cherry_MX_1.00u_PCB,77,SW_Push,
"SW12, SW18, SW55, SW6, SW61, SW66",SW_Cherry_MX_1.25u_PCB,6,SW_Push,
SW4,SW_Cherry_MX_1.75u_PCB,1,SW_Push,
U1,RASPBERRY_PI_PICO,1,RASPBERRY_PI_PICO,
