Designator,Mid X,Mid Y,Rotation,Layer
D1,-14.635056,-65.519167,87.0,bottom
D10,5.097775,-79.004913,87.0,bottom
D11,25.851533,-71.907313,89.0,bottom
D12,46.229696,-64.652573,90.0,bottom
D13,65.886078,-71.004286,91.0,bottom
D14,85.505979,-73.177496,92.0,bottom
D15,80.895202,-135.127066,113.0,bottom
D16,-12.662515,-103.157515,87.0,bottom
D17,6.092158,-97.978874,87.0,bottom
D18,26.183129,-90.904419,89.0,bottom
D19,46.229696,-83.652573,90.0,bottom
D2,94.019696,-126.502573,339.0,top
D20,65.554484,-90.001391,91.0,bottom
D21,85.005979,-91.666226,92.0,bottom
D22,103.873287,-121.148982,120.0,bottom
D23,-11.651908,-122.441051,87.0,bottom
D24,6.581243,-116.563067,87.0,bottom
D25,26.526616,-109.318912,89.0,bottom
D26,46.229696,-102.652573,90.0,bottom
D27,65.217478,-109.30845,91.0,bottom
D28,84.505979,-110.146652,92.0,bottom
D29,101.358227,-144.664041,128.0,bottom
D3,4.103392,-60.030952,87.0,bottom
D4,25.519938,-52.910206,89.0,bottom
D5,46.229696,-45.652573,90.0,bottom
D58,55.333431,-114.502573,1.0,bottom
D59,36.696699,-110.133057,0.0,bottom
D6,66.217675,-52.00718,91.0,bottom
D63,91.284388,-121.179017,183.0,bottom
D65,18.133388,-116.304316,359.0,bottom
D66,-1.76677,-123.364317,357.0,bottom
D67,-20.491031,-128.75946,356.0,bottom
D7,86.445905,-53.516289,92.0,bottom
D8,58.956315,-129.605595,100.0,bottom
D9,-13.640673,-84.493129,87.0,bottom
J1,118.735,-112.32502,150.0,top
J5,-12.125148,-112.920694,357.0,bottom
S1,-24.04304,-63.562505,3.0,top
S10,16.483945,-69.756988,1.0,top
S11,36.569696,-63.487573,0.0,top
S12,56.519696,-67.860124,359.0,top
S13,76.345877,-69.40659,358.0,top
S14,90.073609,-137.790439,337.0,top
S15,-22.054275,-101.510427,3.0,top
S16,-3.245921,-96.018547,3.0,top
S17,16.854138,-88.673408,1.0,top
S18,36.569696,-82.487573,0.0,top
S19,56.1881,-86.857231,359.0,top
S2,-5.234687,-58.070626,3.0,top
S20,75.682787,-88.395016,358.0,top
S21,112.997049,-125.243311,330.0,top
S22,-21.059893,-120.484389,3.0,top
S23,-2.251537,-114.992508,3.0,top
S24,17.185734,-107.670515,1.0,top
S25,36.569696,-101.487573,0.0,top
S26,55.856505,-105.854337,359.0,top
S27,75.019696,-107.383442,358.0,top
S28,109.926215,-150.18593,322.0,top
S3,16.190946,-50.679196,1.0,top
S4,36.569696,-44.487573,0.0,top
S5,56.851292,-48.863018,359.0,top
S6,77.008968,-50.418164,358.0,top
S7,68.623241,-129.614937,350.0,top
S8,-23.048658,-82.536466,3.0,top
S9,-4.240304,-77.044587,3.0,top
SW1,95.519695,-112.98949,177.0,top
U1,99.495713,-75.073656,357.0,top
