Designator,Mid X,Mid Y,Rotation,Layer
_15,290.249991,-112.72999,0.0,bottom
_14,215.565992,-55.97999,0.0,bottom
_13,210.99999,-98.479989,0.0,bottom
_12,278.249991,-93.979989,0.0,bottom
_11,157.2,-135.8,0.0,bottom
_10,187.74999,-80.979989,0.0,bottom
_9,255.565993,-106.97999,0.0,bottom
_8,195.315993,-61.229989,0.0,bottom
_7,256.565992,-69.47999,0.0,bottom
_6,235.815993,-61.97999,0.0,bottom
_5,235.565992,-99.979989,0.0,bottom
_4,152.815993,-108.229989,0.0,bottom
_3,292.24999,-75.729989,0.0,bottom
_2,196.499991,-119.229989,0.0,bottom
,181.49999,-121.479989,0.0,bottom
D30,174.872337,-53.646026,88.0,bottom
D31,175.805301,-73.303704,88.0,bottom
D32,176.312337,-91.796026,88.0,bottom
D33,176.815302,-110.273703,88.0,bottom
D34,195.102015,-52.13749,89.0,bottom
D35,195.432014,-71.13749,89.0,bottom
D36,195.762014,-90.147489,89.0,bottom
D37,196.098506,-109.446907,89.0,bottom
D38,215.091587,-45.78999,90.0,bottom
D39,215.091588,-64.789989,90.0,bottom
D40,215.091584,-83.77999,90.0,bottom
D41,215.091587,-102.789989,90.0,bottom
D42,235.801161,-53.047489,91.0,bottom
D43,235.471161,-72.047489,91.0,bottom
D44,235.131161,-91.037489,91.0,bottom
D45,234.781162,-109.457489,91.0,bottom
D46,257.200602,-60.175596,93.0,bottom
D47,256.221201,-79.140374,93.0,bottom
D48,255.2312,-98.120373,93.0,bottom
D49,254.740601,-116.695596,93.0,bottom
D50,275.950601,-65.655596,93.0,bottom
D51,274.960601,-84.625597,93.0,bottom
D52,273.980602,-103.295597,93.0,bottom
D53,272.971199,-122.560372,93.0,bottom
D54,202.364968,-129.743371,80.0,bottom
D55,180.427397,-135.26736,67.0,bottom
D56,157.447994,-121.286402,60.0,bottom
D57,159.963055,-144.791464,52.0,bottom
D60,167.625956,-126.494743,21.0,top
D61,205.981587,-114.22999,359.0,bottom
D62,224.99999,-109.979989,0.0,bottom
D64,169.729605,-121.250378,177.0,bottom
D68,243.99999,-116.22999,1.0,bottom
D69,264.07916,-123.729989,3.0,bottom
D70,282.499991,-128.979989,3.0,bottom
J2,143.67805,-112.278223,210.0,top
J6,273.446179,-113.07181,3.0,bottom
S29,184.639991,-50.305379,2.0,top
S30,185.303079,-69.293804,2.0,top
S31,185.96617,-88.282227,2.0,top
S32,186.62926,-107.270654,2.0,top
S33,204.819991,-48.826376,1.0,top
S34,205.151587,-67.823481,1.0,top
S35,205.483181,-86.820588,1.0,top
S36,205.814778,-105.817694,1.0,top
S37,225.079991,-44.458153,0.0,top
S38,225.079991,-63.458154,0.0,top
S39,225.07999,-82.458153,0.0,top
S40,225.07999,-101.458153,0.0,top
S41,245.454778,-50.699385,359.0,top
S42,245.123182,-69.696492,359.0,top
S43,244.791586,-88.693597,359.0,top
S44,244.459991,-107.690705,359.0,top
S45,266.880602,-58.176097,357.0,top
S46,265.886219,-77.150058,357.0,top
S47,264.891836,-96.12402,357.0,top
S48,263.897452,-115.09798,357.0,top
S49,285.69999,-63.6681,357.0,top
S50,284.705607,-82.642061,357.0,top
S51,283.716545,-101.604491,357.0,top
S52,282.739991,-120.585797,357.0,top
S53,193.037167,-129.14834,10.0,top
S54,171.490782,-136.8438,23.0,top
S55,148.727416,-124.440949,30.0,top
S56,152.000988,-149.535994,38.0,top
SW2,166.114508,-112.97007,3.0,top
U2,162.189991,-75.073808,3.0,top
