Designator,Mid X,Mid Y,Rotation,Layer
D1,142.815,-59.3925,90.0,top
D10,104.715,-78.4425,90.0,top
D11,104.715,-97.4925,90.0,top
D12,104.715,-116.5425,90.0,top
D13,85.665,-59.3925,90.0,top
D14,85.665,-78.4425,90.0,top
D15,85.665,-97.4925,90.0,top
D16,85.665,-116.5425,90.0,top
D17,66.615,-59.3925,90.0,top
D18,66.865,-78.4425,90.0,top
D19,271.4025,-59.3925,90.0,top
D2,142.815,-78.4425,90.0,top
D20,271.4025,-78.4425,90.0,top
D21,271.4025,-97.4925,90.0,top
D22,252.3525,-59.3925,90.0,top
D23,252.3525,-78.4425,90.0,top
D24,252.3525,-97.4925,90.0,top
D25,233.3025,-59.3925,90.0,top
D26,233.3025,-78.4425,90.0,top
D27,233.3025,-97.4925,90.0,top
D28,233.3025,-116.5425,90.0,top
D29,214.2525,-59.3925,90.0,top
D3,142.815,-97.4925,90.0,top
D30,214.2525,-78.4425,90.0,top
D31,214.2525,-97.4925,90.0,top
D32,200.50824,-129.816388,130.0,top
D33,195.2025,-59.3925,90.0,top
D34,195.2025,-78.4425,90.0,top
D35,195.2025,-97.4925,90.0,top
D36,185.915094,-142.061493,130.0,top
D38,290.4525,-55.3925,90.0,top
D39,290.4525,-74.4425,90.0,top
D4,152.022682,-141.994596,50.0,top
D40,290.4525,-93.4925,90.0,top
D41,252.3525,-116.5425,90.0,top
D42,271.4025,-116.5425,90.0,top
D43,290.4525,-112.5425,90.0,top
D44,66.615,-97.4925,90.0,top
D45,66.615,-116.5425,90.0,top
D46,47.565,-55.3925,90.0,top
D47,47.565,-74.4425,90.0,top
D48,47.565,-93.4925,90.0,top
D49,47.565,-112.5425,90.0,top
D5,123.765,-59.3925,90.0,top
D50,133.29,-63.2025,180.0,top
D51,114.24,-63.2025,180.0,top
D52,95.19,-63.2025,180.0,top
D53,76.14,-63.2025,180.0,top
D54,57.09,-63.2025,180.0,top
D55,38.04,-59.2025,180.0,top
D56,204.7275,-63.2025,0.0,top
D57,204.7275,-82.2525,180.0,top
D58,204.7275,-101.3025,0.0,top
D59,195.534973,-138.627141,220.0,top
D6,123.765,-78.4425,90.0,top
D60,223.7775,-63.2025,0.0,top
D61,223.7775,-82.2525,180.0,top
D62,38.04,-78.2525,0.0,top
D63,57.09,-82.2525,0.0,top
D64,76.14,-82.2525,0.0,top
D65,95.19,-82.2525,0.0,top
D66,114.24,-82.2525,0.0,top
D67,133.29,-82.2525,0.0,top
D68,133.29,-100.914208,180.0,top
D69,38.04,-116.3525,0.0,top
D7,123.765,-97.4925,90.0,top
D70,114.24,-101.3025,180.0,top
D71,57.09,-120.3525,0.0,top
D72,95.19,-101.3025,180.0,top
D73,76.14,-120.3525,0.0,top
D74,76.14,-101.3025,180.0,top
D75,95.19,-120.3525,0.0,top
D76,57.09,-101.3025,180.0,top
D77,127.847473,-126.423942,320.0,top
D78,38.04,-97.3025,180.0,top
D79,142.440621,-138.669046,320.0,top
D8,137.429535,-129.749492,50.0,top
D80,223.7775,-101.3025,0.0,top
D81,210.12812,-126.382038,220.0,top
D82,242.8275,-63.2025,0.0,top
D83,242.8275,-82.2525,180.0,top
D84,242.8275,-101.3025,0.0,top
D85,242.8275,-120.3525,180.0,top
D86,261.8775,-63.2025,0.0,top
D87,261.8775,-82.2525,180.0,top
D88,261.8775,-101.3025,0.0,top
D89,261.8775,-120.3525,180.0,top
D9,104.715,-59.3925,90.0,top
D90,280.9275,-63.2025,0.0,top
D91,280.9275,-82.2525,180.0,top
D92,280.9275,-101.3025,0.0,top
D93,280.9275,-120.3525,180.0,top
D94,299.9775,-59.2025,0.0,top
D95,299.9775,-78.2525,180.0,top
D96,299.9775,-97.3025,0.0,top
D97,299.9775,-116.3525,180.0,top
S1,133.29,-56.275,0.0,top
S10,95.19,-75.325,0.0,top
S11,95.19,-94.375,0.0,top
S12,95.19,-113.425,0.0,top
S13,76.14,-56.275,0.0,top
S14,76.14,-75.325,0.0,top
S15,76.14,-94.375,0.0,top
S16,76.14,-113.425,0.0,top
S17,57.09,-56.275,0.0,top
S18,57.09,-75.325,0.0,top
S19,280.9275,-56.275,0.0,top
S2,133.29,-75.325,0.0,top
S20,280.9275,-75.325,0.0,top
S21,280.9275,-94.375,0.0,top
S22,261.8775,-56.275,0.0,top
S23,261.8775,-75.325,0.0,top
S24,261.8775,-94.375,0.0,top
S25,242.8275,-56.275,0.0,top
S26,242.8275,-75.325,0.0,top
S27,242.8275,-94.375,0.0,top
S28,242.8275,-113.425,0.0,top
S29,223.7775,-56.275,0.0,top
S3,133.29,-94.375,0.0,top
S30,223.7775,-75.325,0.0,top
S31,223.7775,-94.375,0.0,top
S32,206.591347,-121.416838,40.0,top
S33,204.7275,-56.275,0.0,top
S34,204.7275,-75.325,0.0,top
S35,204.7275,-94.375,0.0,top
S36,191.9982,-133.661942,40.0,top
S37,299.9775,-52.275,0.0,top
S38,299.9775,-71.325,0.0,top
S39,299.9775,-90.375,0.0,top
S4,146.349199,-134.226649,320.0,top
S40,261.8775,-113.425,0.0,top
S41,280.9275,-113.425,0.0,top
S42,299.9775,-109.425,0.0,top
S43,57.09,-94.375,0.0,top
S44,57.09,-113.425,0.0,top
S45,38.04,-52.275,0.0,top
S46,38.04,-71.325,0.0,top
S47,38.04,-90.375,0.0,top
S48,38.04,-109.425,0.0,top
S5,114.24,-56.275,0.0,top
S6,114.24,-75.325,0.0,top
S7,114.24,-94.375,0.0,top
S8,131.756054,-121.981544,320.0,top
S9,95.19,-56.275,0.0,top
SW1,140.315001,-36.9025,90.0,top
SW2,207.88303,-154.156139,40.0,top
U1,169.00875,-54.4625,0.0,top
