Designator,Mid X,Mid Y,Rotation,Layer
D1,46.4375,-37.84,90.0,bottom
D10,72.63125,-114.04,90.0,bottom
D11,84.5375,-37.84,90.0,bottom
D12,94.0625,-56.89,90.0,bottom
D13,98.825,-75.94,90.0,bottom
D14,89.3,-94.99,90.0,bottom
D15,96.44375,-114.04,90.0,bottom
D16,103.5875,-37.84,90.0,bottom
D17,113.1125,-56.89,90.0,bottom
D18,117.875,-75.94,90.0,bottom
D19,108.35,-94.99,90.0,bottom
D2,53.58125,-75.94,90.0,bottom
D21,122.6375,-37.84,90.0,bottom
D22,132.1625,-56.89,90.0,bottom
D23,136.925,-75.94,90.0,bottom
D24,127.4,-94.99,90.0,bottom
D26,141.6875,-37.84,90.0,bottom
D27,151.2125,-56.89,90.0,bottom
D28,155.975,-75.94,90.0,bottom
D29,146.45,-94.99,90.0,bottom
D3,58.34375,-94.99,90.0,bottom
D31,160.7375,-37.84,90.0,bottom
D32,170.2625,-56.89,90.0,bottom
D33,175.025,-75.94,90.0,bottom
D34,165.5,-94.99,90.0,bottom
D35,167.88125,-114.04,90.0,bottom
D36,179.7875,-37.84,90.0,bottom
D37,189.3125,-56.89,90.0,bottom
D38,194.075,-75.94,90.0,bottom
D39,184.55,-94.99,90.0,bottom
D4,51.2,-56.89,90.0,bottom
D41,198.8375,-37.84,90.0,bottom
D42,208.3625,-56.89,90.0,bottom
D43,213.125,-75.94,90.0,bottom
D44,203.6,-94.99,90.0,bottom
D46,217.8875,-37.84,90.0,bottom
D47,227.4125,-56.89,90.0,bottom
D48,232.175,-75.94,90.0,bottom
D49,222.65,-94.99,90.0,bottom
D5,48.81875,-114.04,90.0,bottom
D51,236.9375,-37.84,90.0,bottom
D52,246.4625,-56.89,90.0,bottom
D53,251.225,-75.94,90.0,bottom
D54,241.7,-94.99,90.0,bottom
D55,239.31875,-114.04,90.0,bottom
D56,255.9875,-37.84,90.0,bottom
D57,265.5125,-56.89,90.0,bottom
D58,270.275,-75.94,90.0,bottom
D59,260.75,-94.99,90.0,bottom
D6,65.4875,-37.84,90.0,bottom
D60,263.13125,-114.04,90.0,bottom
D65,275.0375,-37.84,90.0,bottom
D66,284.5625,-56.89,90.0,bottom
D69,286.94375,-114.04,90.0,bottom
D7,75.0125,-56.89,90.0,bottom
D70,303.6125,-37.84,90.0,bottom
D71,308.375,-56.89,90.0,bottom
D72,301.23125,-75.94,90.0,bottom
D73,296.46875,-94.99,90.0,bottom
D74,310.75625,-114.04,90.0,bottom
D8,79.775,-75.94,90.0,bottom
J1,14.43,-85.2,90.0,top
SW1,38.1,-35.935,0.0,top
SW10,209.55,-35.935,0.0,top
SW11,228.6,-35.935,0.0,top
SW12,247.65,-35.935,0.0,top
SW13,266.7,-35.935,0.0,top
SW14,295.275,-35.935,0.0,top
SW15,42.8625,-54.985,0.0,top
SW16,66.675,-54.985,0.0,top
SW17,85.725,-54.985,0.0,top
SW18,104.775,-54.985,0.0,top
SW19,123.825,-54.985,0.0,top
SW2,57.15,-35.935,0.0,top
SW20,142.875,-54.985,0.0,top
SW21,161.925,-54.985,0.0,top
SW22,180.975,-54.985,0.0,top
SW23,200.025,-54.985,0.0,top
SW24,219.075,-54.985,0.0,top
SW25,238.125,-54.985,0.0,top
SW26,257.175,-54.985,0.0,top
SW27,276.225,-54.985,0.0,top
SW28,300.0375,-54.985,0.0,top
SW29,45.24375,-74.035,0.0,top
SW3,76.2,-35.935,0.0,top
SW30,71.4375,-74.035,0.0,top
SW31,90.4875,-74.035,0.0,top
SW32,109.5375,-74.035,0.0,top
SW33,128.5875,-74.035,0.0,top
SW34,147.6375,-74.035,0.0,top
SW35,166.6875,-74.035,0.0,top
SW36,185.7375,-74.035,0.0,top
SW37,204.7875,-74.035,0.0,top
SW38,223.8375,-74.035,0.0,top
SW39,242.8875,-74.035,0.0,top
SW4,95.25,-35.935,0.0,top
SW40,261.9375,-74.035,0.0,top
SW41,292.89375,-74.035,0.0,top
SW42,50.00625,-93.085,0.0,top
SW43,80.9625,-93.085,0.0,top
SW44,100.0125,-93.085,0.0,top
SW45,119.0625,-93.085,0.0,top
SW46,138.1125,-93.085,0.0,top
SW47,157.1625,-93.085,0.0,top
SW48,176.2125,-93.085,0.0,top
SW49,195.2625,-93.085,0.0,top
SW5,114.3,-35.935,0.0,top
SW50,214.3125,-93.085,0.0,top
SW51,233.3625,-93.085,0.0,top
SW52,252.4125,-93.085,0.0,top
SW53,288.13125,-93.085,0.0,top
SW54,40.48125,-112.135,0.0,top
SW55,64.29375,-112.135,0.0,top
SW56,88.10625,-112.135,0.0,top
SW57,159.54375,-112.135,0.0,top
SW58,230.98125,-112.135,0.0,top
SW59,254.79375,-112.135,0.0,top
SW6,133.35,-35.935,0.0,top
SW60,278.60625,-112.135,0.0,top
SW61,302.41875,-112.135,0.0,top
SW7,152.4,-35.935,0.0,top
SW8,171.45,-35.935,0.0,top
SW9,190.5,-35.935,0.0,top
U1,14.51,-53.985,0.0,top
