Designator,Mid X,Mid Y,Rotation,Layer
D1,144.795,-75.10375,90.0,bottom
D2,163.845,-75.10375,90.0,bottom
D3,182.895,-75.10375,90.0,bottom
D4,144.795,-94.15375,90.0,bottom
D5,163.845,-94.15375,90.0,bottom
D6,182.895,-94.15375,90.0,bottom
D7,144.795,-113.20375,90.0,bottom
D8,163.845,-113.20375,90.0,bottom
D9,182.895,-113.20375,90.0,bottom
S1,135.27,-73.89125,0.0,top
S2,154.32,-73.89125,0.0,top
S3,173.37,-73.89125,0.0,top
S4,135.27,-92.94125,0.0,top
S5,154.32,-92.94125,0.0,top
S6,173.37,-92.94125,0.0,top
S7,135.27,-111.99125,0.0,top
S8,154.32,-111.99125,0.0,top
S9,173.37,-111.99125,0.0,top
U1,198.92875,-95.57375,0.0,top
