Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",95.881250,-55.643750,0.000000,top
"D2","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",95.881250,-60.406250,0.000000,top
"D3","D","D_DO-35_SOD27_P7.62mm_Horizontal",104.775000,-99.060000,90.000000,top
"D4","D","D_DO-35_SOD27_P7.62mm_Horizontal",123.825000,-99.060000,90.000000,top
"D5","D","D_DO-35_SOD27_P7.62mm_Horizontal",142.875000,-99.060000,90.000000,top
"D6","D","D_DO-35_SOD27_P7.62mm_Horizontal",104.775000,-118.110000,90.000000,top
"D7","D","D_DO-35_SOD27_P7.62mm_Horizontal",123.793077,-118.200054,90.000000,top
"D8","D","D_DO-35_SOD27_P7.62mm_Horizontal",142.875000,-118.110000,90.000000,top
"D9","D","D_DO-35_SOD27_P7.62mm_Horizontal",142.875000,-137.160000,90.000000,top
"D10","D","D_DO-35_SOD27_P7.62mm_Horizontal",123.877047,-137.177225,90.000000,top
"D11","D","D_DO-35_SOD27_P7.62mm_Horizontal",104.568539,-136.761167,90.000000,top
"J1","OLED_128x64","Adafruit_SSD1306",155.416250,-56.702500,0.000000,top
"R1","PTA4543-2015DPB103","BOURNS-PTA4543_45mm-slide-pot",158.464174,-114.230737,90.000000,top
"R2","PTA4543-2015DPB103","BOURNS-PTA4543_45mm-slide-pot",170.182623,-114.342696,90.000000,top
"R3","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",107.156250,-73.818750,0.000000,top
"R4","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",107.156250,-69.056250,0.000000,top
"SW1","SW_Push","SW_Cherry_MX_1.00u_PCB",97.790000,-90.170000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_1.00u_PCB",116.840000,-90.170000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_1.00u_PCB",135.890000,-90.170000,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_1.00u_PCB",97.790000,-109.220000,0.000000,top
"SW5","SW_Push","SW_Cherry_MX_1.00u_PCB",116.840000,-109.220000,0.000000,top
"SW6","SW_Push","SW_Cherry_MX_1.00u_PCB",135.890000,-109.220000,0.000000,top
"SW7","SW_Push","SW_Cherry_MX_1.00u_PCB",97.790000,-128.270000,0.000000,top
"SW8","SW_Push","SW_Cherry_MX_1.00u_PCB",116.840000,-128.270000,0.000000,top
"SW9","SW_Push","SW_Cherry_MX_1.00u_PCB",135.890000,-128.270000,0.000000,top
"U1","XIAO-RP2040-DIP","XIAO-RP2040-DIP",126.206250,-61.912500,0.000000,top
"U2","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm",97.743750,-73.501250,0.000000,top
