Designator,Mid X,Mid Y,Rotation,Layer
D1,136.04,-61.8,180.0,top
D10,163.72,-68.78,90.0,top
D2,136.04,-58.25,180.0,top
D3,136.04,-54.7,180.0,top
D4,152.26,-68.83,90.0,top
D5,155.81,-68.83,90.0,top
D6,159.36,-68.83,90.0,top
D7,155.94,-105.48,180.0,top
D8,155.94,-101.93,180.0,top
D9,155.94,-98.38,180.0,top
S1,97.69,-72.55,0.0,top
S2,116.75,-72.54,0.0,top
S3,135.79,-72.54,0.0,top
S4,97.7,-91.6,0.0,top
S5,116.77,-91.59,0.0,top
S6,135.82,-91.59,0.0,top
S7,97.68,-110.64,0.0,top
S8,116.76,-110.65,0.0,top
S9,135.78,-110.64,0.0,top
SW1,153.99,-51.67,0.0,top
U1,155.87,-85.0775,270.0,top
