Designator,Mid X,Mid Y,Rotation,Layer
D1,59.0575,-112.0,90.0,bottom
D2,78.1075,-112.0,90.0,bottom
D3,97.1275,-112.0,90.0,bottom
D4,59.0575,-131.05,90.0,bottom
D5,78.0775,-131.05,90.0,bottom
D6,97.1275,-131.05,90.0,bottom
D7,58.1,-150.1,90.0,bottom
D8,69.9,-139.5,180.0,bottom
D9,97.1275,-150.08,90.0,bottom
S1,49.5325,-112.0,0.0,top
S2,68.5825,-112.0,0.0,top
S3,87.6025,-112.0,0.0,top
S4,49.5325,-131.04,0.0,top
S5,68.5825,-131.05,0.0,top
S6,87.6025,-131.05,0.0,top
S7,49.5325,-150.09,0.0,top
S8,68.6,-150.08,270.0,top
S9,87.6025,-150.08,0.0,top
SW1,55.25,-85.5,0.0,top
U1,68.9175,-151.44,180.0,bottom
