Designator,Mid X,Mid Y,Rotation,Layer
D1,114.808,-59.69,90.0,bottom
D10,133.858,-97.79,90.0,bottom
D11,152.908,-97.79,90.0,bottom
D12,171.958,-97.79,90.0,bottom
D13,114.808,-116.84,90.0,bottom
D14,133.858,-116.84,90.0,bottom
D15,152.908,-116.84,90.0,bottom
D16,171.958,-116.84,90.0,bottom
D2,133.858,-59.69,90.0,bottom
D3,152.908,-59.69,90.0,bottom
D4,171.958,-59.69,90.0,bottom
D5,114.808,-78.74,90.0,bottom
D6,133.858,-78.74,90.0,bottom
D7,152.908,-78.74,90.0,bottom
D8,172.212,-78.74,90.0,bottom
D9,114.808,-97.79,90.0,bottom
S1,105.41,-60.96,0.0,top
S10,124.46,-99.06,0.0,top
S11,143.51,-99.06,0.0,top
S12,162.56,-99.06,0.0,top
S13,105.41,-118.11,0.0,top
S14,124.46,-118.11,0.0,top
S15,143.51,-118.11,0.0,top
S16,162.56,-118.11,0.0,top
S2,124.46,-60.96,0.0,top
S3,143.51,-60.96,0.0,top
S4,162.56,-60.96,0.0,top
S5,105.41,-80.01,0.0,top
S6,124.46,-80.01,0.0,top
S7,143.51,-80.01,0.0,top
S8,162.56,-80.01,0.0,top
S9,105.41,-99.06,0.0,top
U1,86.106,-45.401,90.0,top
