Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0805,4,10uF,
"D1, D11, D12, D14, D15, D16, D17, D2, D3, D4, D9",Nexperia_CFP3_SOD-123W,11,1N4148W,
"D10, D13, D18, D19, D21, D23, D5, D6, D7, D8",SK6812MINI-E,10,SK6812MINI,
D20,0603,1,LED Orange,
D24,Nexperia_CFP3_SOD-123W,1,MBR0540,
J1,SSD1306-OLED096-128x64,1,OLED_DISPLAY,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Testpad wire hole1,
J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST PH,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Top Trigger 1,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Top Trigger 2,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Extra Trigger,
Q1,SOT-23-3,1,DMG3415,
"R1, R3, R4",0805,3,10k,
R2,0805,1,2k,
SW1,RotaryEncoder_Alps_EC12E_Vertical_H20mm,1,RotaryEncoder_Switch,
"SW2, SW3, SW4, SW5, SW6, SW7",MX-Solderable-1U,6,SW_Push_45deg,
U1,SOT-23-5,1,AP2112K-3.3,
U3,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y_COSTSAVERPADs,1,LSM6DS3,
U5,Adafruit 2-Axis joystick,1,2_axis_analog_joystick_button,
U8,SOT-23-5,1,MCP73831-2-OT,
