Designator,Mid X,Mid Y,Rotation,Layer
C1,165.0,-100.3,90.0,bottom
C3,150.15,-95.95,180.0,bottom
C4,152.5,-100.9,270.0,bottom
C5,158.6,-97.5,0.0,bottom
D1,107.1,-97.5,0.0,bottom
D10,140.49375,-133.6675,180.0,bottom
D11,150.0,-124.8,90.0,bottom
D12,176.2,-111.1,90.0,bottom
D13,180.7,-102.9,0.0,bottom
D14,97.63125,-109.5375,90.0,bottom
D15,130.96875,-125.225,90.0,bottom
D16,169.06875,-124.80625,90.0,bottom
D17,176.1,-125.8,90.0,bottom
D18,121.44375,-133.6675,180.0,bottom
D19,94.7,-130.642017,225.0,bottom
D2,150.01875,-105.75625,90.0,bottom
D20,165.9,-103.7,0.0,bottom
D21,121.44375,-114.6175,0.0,bottom
D23,98.8,-96.65,0.0,bottom
D24,150.5,-98.1,180.0,bottom
D3,166.7,-107.5,90.0,bottom
D4,172.1,-108.0,90.0,bottom
D5,140.49375,-114.6175,0.0,bottom
D6,159.54375,-114.6175,0.0,bottom
D7,177.842017,-130.7,135.0,bottom
D8,159.54375,-133.6675,180.0,bottom
D9,130.96875,-106.175,90.0,bottom
J1,136.3,-98.2,180.0,top
J2,118.69,-95.2,90.0,top
J3,136.3,-94.5,0.0,top
J4,174.0,-98.6,0.0,bottom
J5,105.88625,-95.25,270.0,top
J6,166.27,-95.3,90.0,top
J7,179.73,-123.3,270.0,top
Q1,161.9,-100.3,0.0,bottom
R1,169.2,-103.9,0.0,bottom
R2,161.4,-95.5,180.0,bottom
R3,158.6,-100.2,90.0,bottom
R4,162.1,-97.6,180.0,bottom
SW1,179.2,-111.1,270.0,top
SW2,140.49375,-107.41945,0.0,top
SW3,159.54375,-107.41945,0.0,top
SW4,121.44375,-107.41945,0.0,top
SW5,140.49375,-126.46945,0.0,top
SW6,121.44375,-126.46945,0.0,top
SW7,159.54375,-126.46945,0.0,top
U1,155.6,-100.2,180.0,bottom
U3,136.3,-92.9,0.0,bottom
U4,136.3,-90.6,180.0,bottom
U5,96.605827,-112.851877,0.0,top
U8,167.7,-99.9,270.0,bottom
