Designator,Mid X,Mid Y,Rotation,Layer
D1,94.2975,-65.52625,90.0,bottom
D10,113.3475,-104.57875,90.0,bottom
D11,132.3975,-104.57875,90.0,bottom
D12,151.4475,-104.57875,90.0,bottom
D13,94.2975,-123.62875,90.0,bottom
D14,113.3475,-123.62875,90.0,bottom
D15,132.3975,-123.62875,90.0,bottom
D16,151.4475,-123.62875,90.0,bottom
D17,97.63125,-56.95375,0.0,bottom
D2,113.3475,-65.52625,90.0,bottom
D3,132.3975,-65.52625,90.0,bottom
D4,151.4475,-65.52625,90.0,bottom
D5,94.2975,-85.52875,90.0,bottom
D6,113.3475,-85.52875,90.0,bottom
D7,132.3975,-85.52875,90.0,bottom
D8,151.4475,-85.52875,90.0,bottom
D9,94.2975,-104.57875,90.0,bottom
S1,84.7725,-66.47875,0.0,top
S10,103.8225,-104.57875,0.0,top
S11,122.8725,-104.57875,0.0,top
S12,141.9225,-104.57875,0.0,top
S13,84.7725,-123.62875,0.0,top
S14,103.8225,-123.62875,0.0,top
S15,122.8725,-123.62875,0.0,top
S16,141.9225,-123.62875,0.0,top
S2,103.8225,-66.47875,0.0,top
S3,122.8725,-66.47875,0.0,top
S4,141.9225,-66.47875,0.0,top
S5,84.7725,-85.52875,0.0,top
S6,103.8225,-85.52875,0.0,top
S7,122.8725,-85.52875,0.0,top
S8,141.9225,-85.52875,0.0,top
S9,84.7725,-104.57875,0.0,top
SW1,83.9975,-49.25375,0.0,top
U1,131.78,-46.45375,0.0,top
