Designator,Mid X,Mid Y,Rotation,Layer
D1,263.4625,-134.54405,90.0,bottom
D2,239.00155,-134.54405,90.0,bottom
D3,213.4625,-134.54405,90.0,bottom
D4,265.51345,-79.77245,90.0,bottom
D5,211.4375,-80.8875,90.0,bottom
D6,200.9627,-101.19685,90.0,bottom
D7,276.2293,-101.07185,90.0,bottom
D8,209.5529,-114.3013,90.0,bottom
D9,230.9846,-114.3013,90.0,bottom
R1,233.1025,-102.2625,180.0,bottom
R2,239.8975,-97.5125,0.0,bottom
R3,230.7275,-97.5125,180.0,bottom
S1,253.9375,-135.733,0.0,top
S2,229.47655,-135.733,0.0,top
S3,203.9375,-135.733,0.0,top
S4,255.98825,-80.9631,0.0,top
S5,201.4375,-80.8875,0.0,top
S6,191.4375,-102.3875,0.0,top
S7,266.7041,-102.2625,0.0,top
SW1,241.6328,-113.46425,180.0,top
SW2,220.20155,-113.46425,180.0,top
U1,262.8348,-59.5331,0.0,top
U2,230.9846,-89.29765,270.0,top
