Designator,Mid X,Mid Y,Rotation,Layer
D1,114.3,-75.2475,90.0,bottom
D10,133.35,-113.3475,90.0,bottom
D11,152.4,-113.3475,90.0,bottom
D12,162.785,-105.15,180.0,bottom
D13,114.3,-132.3975,90.0,bottom
D14,133.35,-132.3975,90.0,bottom
D15,152.4,-132.3975,90.0,bottom
D16,162.8775,-123.825,180.0,bottom
D17,99.15,-56.45,0.0,top
D19,133.35,-57.15,0.0,top
D2,133.35,-75.2475,90.0,bottom
D20,168.175,-56.7,0.0,top
D21,168.175,-56.7,0.0,bottom
D22,99.15,-56.45,0.0,bottom
D23,98.725,-100.675,0.0,bottom
D24,167.875,-101.075,0.0,bottom
D26,161.625,-84.575,180.0,bottom
D29,166.975,-140.1,0.0,bottom
D3,152.1,-75.1,90.0,bottom
D30,133.4,-140.075,0.0,bottom
D31,98.85,-140.175,0.0,bottom
D5,114.3,-94.2975,90.0,bottom
D6,133.35,-94.2975,90.0,bottom
D7,152.4,-94.2975,90.0,bottom
D8,161.625,-87.1,180.0,bottom
D9,114.3,-113.3475,90.0,bottom
S1,104.775,-76.2,0.0,top
S10,123.825,-114.3,0.0,top
S11,142.875,-114.3,0.0,top
S12,161.925,-114.3,0.0,top
S13,104.775,-133.35,0.0,top
S14,123.825,-133.35,0.0,top
S15,142.875,-133.35,0.0,top
S16,161.925,-133.35,0.0,top
S2,123.825,-76.2,0.0,top
S3,142.875,-76.2,0.0,top
S5,104.775,-95.25,0.0,top
S6,123.825,-95.25,0.0,top
S7,142.875,-95.25,0.0,top
S8,161.925,-95.25,0.0,top
S9,104.775,-114.3,0.0,top
SW1,161.675,-76.2,0.0,top
U1,133.35,-59.055,0.0,bottom
