Designator,Mid X,Mid Y,Rotation,Layer
D1,48.26,-62.23,90.0,bottom
D10,67.31,-100.33,90.0,bottom
D11,86.36,-100.33,90.0,bottom
D12,90.17,-109.855,180.0,bottom
D2,67.564,-62.23,90.0,bottom
D3,86.487,-62.23,90.0,bottom
D4,105.41,-62.23,90.0,bottom
D5,48.387,-81.28,90.0,bottom
D6,67.31,-81.28,90.0,bottom
D7,86.487,-81.28,90.0,bottom
D8,105.41,-81.28,90.0,bottom
D9,48.26,-100.33,90.0,bottom
SW1,38.735,-61.335,0.0,top
SW10,57.785,-99.435,0.0,top
SW11,76.835,-99.435,0.0,top
SW12,96.509,-99.707,0.0,top
SW2,57.785,-61.335,0.0,top
SW3,76.835,-61.335,0.0,top
SW4,95.885,-61.335,0.0,top
SW5,38.735,-80.385,0.0,top
SW6,57.785,-80.385,0.0,top
SW7,76.835,-80.385,0.0,top
SW8,95.885,-80.385,0.0,top
SW9,38.735,-99.435,0.0,top
U1,52.0255,-37.542,0.0,top
