Designator,Mid X,Mid Y,Rotation,Layer
D1,110.3,-52.36,90.0,bottom
D2,129.43,-52.61,90.0,bottom
D3,148.46,-52.31,90.0,bottom
D4,110.2,-72.29,90.0,bottom
D5,129.43,-72.68,90.0,bottom
D6,148.41,-72.44,90.0,bottom
D7,148.61,-91.81,90.0,bottom
D8,148.56,-111.24,90.0,bottom
S1,100.715,-53.125,0.0,top
S2,119.83,-53.16,0.0,top
S3,138.94,-53.11,0.0,top
S4,100.68,-72.23,0.0,top
S5,119.84,-72.23,0.0,top
S6,138.95,-72.21,0.0,top
S7,139.06,-91.4,0.0,top
S8,139.01,-110.34,0.0,top
U1,98.31,-72.4975,270.0,bottom
