Designator,Mid X,Mid Y,Rotation,Layer
D10,80.3288,-76.495,90.0,bottom
D11,70.8038,-95.545,90.0,bottom
D12,73.185,-114.595,90.0,bottom
D14,85.0913,-38.395,90.0,bottom
D15,94.6163,-57.445,90.0,bottom
D16,99.3788,-76.495,90.0,bottom
D17,89.8538,-95.545,90.0,bottom
D18,96.9975,-114.595,90.0,bottom
D2,46.9913,-38.395,90.0,bottom
D20,104.1413,-38.395,90.0,bottom
D21,113.6663,-57.445,90.0,bottom
D22,118.4288,-76.495,90.0,bottom
D23,108.9038,-95.545,90.0,bottom
D25,123.1913,-38.395,90.0,bottom
D26,132.7163,-57.445,90.0,bottom
D27,137.4788,-76.495,90.0,bottom
D28,127.9538,-95.545,90.0,bottom
D3,51.7538,-57.445,90.0,bottom
D30,142.2413,-38.395,90.0,bottom
D31,151.7663,-57.445,90.0,bottom
D32,156.5288,-76.495,90.0,bottom
D33,147.0038,-95.545,90.0,bottom
D34,168.435,-114.595,90.0,bottom
D36,161.2913,-38.395,90.0,bottom
D37,170.8163,-57.445,90.0,bottom
D38,175.5788,-76.495,90.0,bottom
D39,166.0538,-95.545,90.0,bottom
D4,54.135,-76.495,90.0,bottom
D41,180.3413,-38.395,90.0,bottom
D42,189.8663,-57.445,90.0,bottom
D43,194.6288,-76.495,90.0,bottom
D44,185.1038,-95.545,90.0,bottom
D46,199.3913,-38.395,90.0,bottom
D47,208.9163,-57.445,90.0,bottom
D48,213.6788,-76.495,90.0,bottom
D49,204.1538,-95.545,90.0,bottom
D5,49.3725,-95.545,90.0,bottom
D51,218.4413,-38.395,90.0,bottom
D52,227.9663,-57.445,90.0,bottom
D53,232.7288,-76.495,90.0,bottom
D54,223.2038,-95.545,90.0,bottom
D55,239.8725,-114.595,90.0,bottom
D57,237.4913,-38.395,90.0,bottom
D58,247.0163,-57.445,90.0,bottom
D59,251.7788,-76.495,90.0,bottom
D6,49.3725,-114.595,90.0,bottom
D60,242.2538,-95.545,90.0,bottom
D61,263.685,-114.595,90.0,bottom
D62,261.3038,-95.545,90.0,bottom
D63,256.5413,-38.395,90.0,bottom
D64,266.0663,-57.445,90.0,bottom
D65,270.8288,-76.495,90.0,bottom
D66,287.4975,-114.595,90.0,bottom
D67,297.0225,-95.545,90.0,bottom
D68,275.5913,-38.395,90.0,bottom
D69,285.1163,-57.445,90.0,bottom
D71,304.1663,-38.395,90.0,bottom
D72,311.31,-66.97,90.0,bottom
D75,311.31,-114.595,90.0,bottom
D76,289.8788,-76.495,90.0,bottom
D8,66.0413,-38.395,90.0,bottom
D9,75.5663,-57.445,90.0,bottom
J1,0.48,-47.53,180.0,top
J2,0.38,-68.25,180.0,top
J3,9.95,-91.53,270.0,top
SW1,38.1,-35.935,0.0,top
SW10,209.55,-35.935,0.0,top
SW11,228.6,-35.935,0.0,top
SW12,247.65,-35.935,0.0,top
SW13,266.7,-35.935,0.0,top
SW14,295.275,-35.935,0.0,top
SW15,42.8625,-54.985,0.0,top
SW16,66.675,-54.985,0.0,top
SW17,85.725,-54.985,0.0,top
SW18,104.775,-54.985,0.0,top
SW19,123.825,-54.985,0.0,top
SW2,57.15,-35.935,0.0,top
SW20,142.875,-54.985,0.0,top
SW21,161.925,-54.985,0.0,top
SW22,180.975,-54.985,0.0,top
SW23,200.025,-54.985,0.0,top
SW24,219.075,-54.985,0.0,top
SW25,238.125,-54.985,0.0,top
SW26,257.175,-54.985,0.0,top
SW27,276.225,-54.985,0.0,top
SW28,302.4188,-64.51,0.0,top
SW29,45.2438,-74.035,0.0,top
SW3,76.2,-35.935,0.0,top
SW30,71.4375,-74.035,0.0,top
SW31,90.4875,-74.035,0.0,top
SW32,109.5375,-74.035,0.0,top
SW33,128.5875,-74.035,0.0,top
SW34,147.6375,-74.035,0.0,top
SW35,166.6875,-74.035,0.0,top
SW36,185.7375,-74.035,0.0,top
SW37,204.7875,-74.035,0.0,top
SW38,223.8375,-74.035,0.0,top
SW39,242.8875,-74.035,0.0,top
SW4,95.25,-35.935,0.0,top
SW40,261.9375,-74.035,0.0,top
SW41,280.9875,-74.035,0.0,top
SW42,40.4813,-93.085,0.0,top
SW43,61.9125,-93.085,0.0,top
SW44,80.9625,-93.085,0.0,top
SW45,100.0125,-93.085,0.0,top
SW46,119.0625,-93.085,0.0,top
SW47,138.1125,-93.085,0.0,top
SW48,157.1625,-93.085,0.0,top
SW49,176.2125,-93.085,0.0,top
SW5,114.3,-35.935,0.0,top
SW50,195.2625,-93.085,0.0,top
SW51,214.3125,-93.085,0.0,top
SW52,233.3625,-93.085,0.0,top
SW53,252.4125,-93.085,0.0,top
SW54,288.1313,-93.085,0.0,top
SW55,40.4813,-112.135,0.0,top
SW56,64.2938,-112.135,0.0,top
SW57,88.1063,-112.135,0.0,top
SW58,159.5438,-112.135,0.0,top
SW59,230.9813,-112.135,0.0,top
SW6,133.35,-35.935,0.0,top
SW60,254.7938,-112.135,0.0,top
SW61,278.6063,-112.135,0.0,top
SW62,302.4188,-112.135,0.0,top
SW7,152.4,-35.935,0.0,top
SW8,171.45,-35.935,0.0,top
SW9,190.5,-35.935,0.0,top
U2,14.8,-54.855,0.0,top
