### Footprint positions - created on 2026-03-22T21:42:28+0530 ###
### Printed by KiCad version 9.0.8
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                    Package                                                 PosX       PosY       Rot  Side
D1        1N4148W                MICROBUILDER_SOD-123                                  4.5197    -2.8937  -90.0000  bottom
D2        1N4148W                MICROBUILDER_SOD-123                                  5.2874    -2.8937  -90.0000  bottom
D3        1N4148W                MICROBUILDER_SOD-123                                  6.0551    -2.8937  -90.0000  bottom
D4        1N4148W                MICROBUILDER_SOD-123                                  6.8228    -2.8937  -90.0000  bottom
D5        1N4148W                MICROBUILDER_SOD-123                                  4.5197    -3.6614  -90.0000  bottom
D6        1N4148W                MICROBUILDER_SOD-123                                  5.2874    -3.6614  -90.0000  bottom
D7        1N4148W                MICROBUILDER_SOD-123                                  6.0551    -3.6614  -90.0000  bottom
D8        1N4148W                MICROBUILDER_SOD-123                                  6.8228    -3.6614  -90.0000  bottom
D9        1N4148W                MICROBUILDER_SOD-123                                  4.5000    -4.4488  -90.0000  bottom
D10       1N4148W                MICROBUILDER_SOD-123                                  5.2874    -4.4488  -90.0000  bottom
D11       1N4148W                MICROBUILDER_SOD-123                                  6.0551    -4.4429  -90.0000  bottom
D12       1N4148W                MICROBUILDER_SOD-123                                  6.8228    -4.4488  -90.0000  bottom
LED1      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    4.6024    -3.3031  180.0000  bottom
LED2      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    5.3740    -3.3031  180.0000  bottom
LED3      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    6.1496    -3.3012  180.0000  bottom
LED4      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    6.9173    -3.2992  180.0000  bottom
LED5      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    4.6024    -4.0748  180.0000  bottom
LED6      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    5.3740    -4.0748  180.0000  bottom
LED7      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    6.1457    -4.0748  180.0000  bottom
LED8      WS2812B                LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm                    6.9213    -4.0748  180.0000  bottom
M1        MOUDLE-SEEEDUINO-XIAO  MOUDLE14P-SMD-2.54-21X17.8MM                          7.7054    -3.1459  180.0000  bottom
R1        500                    R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal     3.7402    -2.9102  -90.0000  top
S1        CherryMX               CherryMX_1.00u_KailhSocket                            4.2154    -2.9287    0.0000  top
S2        CherryMX               CherryMX_1.00u_KailhSocket                            4.9874    -2.9276    0.0000  top
S3        CherryMX               CherryMX_1.00u_KailhSocket                            5.7606    -2.9276    0.0000  top
S4        CherryMX               CherryMX_1.00u_KailhSocket                            6.5327    -2.9252    0.0000  top
S5        CherryMX               CherryMX_1.00u_KailhSocket                            4.2154    -3.6988    0.0000  top
S6        CherryMX               CherryMX_1.00u_KailhSocket                            4.9878    -3.6984    0.0000  top
S7        CherryMX               CherryMX_1.00u_KailhSocket                            5.7606    -3.6988    0.0000  top
S8        CherryMX               CherryMX_1.00u_KailhSocket                            6.5323    -3.6988    0.0000  top
S9        CherryMX               CherryMX_1.00u_KailhSocket                            4.2146    -4.4713    0.0000  top
S10       CherryMX               CherryMX_1.00u_KailhSocket                            4.9868    -4.4709    0.0000  top
S11       CherryMX               CherryMX_1.00u_KailhSocket                            5.7594    -4.4717    0.0000  top
S12       CherryMX               CherryMX_1.00u_KailhSocket                            6.5327    -4.4720    0.0000  top
SW1       PEC11-4215F-S24        ADAFRUIT_ELECTROMECH_PEC11+SWITCH                     7.4528    -3.7008    0.0000  top
## End
