Designator,Mid X,Mid Y,Rotation,Layer
D1,167.0,-72.19,90.0,bottom
D10,224.0,-72.19,90.0,bottom
D2,186.0,-72.19,90.0,bottom
D3,205.0,-72.19,90.0,bottom
D4,167.0,-92.19,90.0,bottom
D5,186.0,-92.19,90.0,bottom
D6,205.0,-92.19,90.0,bottom
D7,167.0,-112.19,90.0,bottom
D8,186.0,-112.19,90.0,bottom
D9,205.0,-112.19,90.0,bottom
K1,157.38,-71.255,0.0,top
K10,214.54,-71.255,0.0,top
K2,176.54,-71.255,0.0,top
K3,195.54,-71.255,0.0,top
K4,157.38,-91.255,0.0,top
K5,176.54,-91.255,0.0,top
K6,195.54,-91.255,0.0,top
K7,157.38,-111.255,0.0,top
K8,176.54,-111.255,0.0,top
K9,195.54,-111.255,0.0,top
U1,216.0175,-47.0,0.0,top
