Designator,Mid X,Mid Y,Rotation,Layer
D1,104.6,-68.875,270.0,bottom
D10,57.0,-73.77,0.0,bottom
D11,75.95,-73.92,0.0,bottom
D12,95.1,-73.92,0.0,bottom
D13,95.0,-92.8,180.0,bottom
D14,76.1,-92.845,180.0,bottom
D15,57.0,-92.8,180.0,bottom
D16,57.0,-111.8,0.0,bottom
D17,76.0,-111.7,0.0,bottom
D18,95.1,-111.8,0.0,bottom
D2,104.5,-87.875,90.0,bottom
D3,104.5,-106.875,90.0,bottom
D4,85.5,-106.875,90.0,bottom
D5,85.5,-87.875,90.0,bottom
D6,85.5,-68.875,90.0,bottom
D7,66.5,-68.875,90.0,bottom
D8,66.5,-87.875,270.0,bottom
D9,66.5,-106.875,90.0,bottom
SW1,57.2,-68.375,0.0,top
SW2,76.2,-68.375,0.0,top
SW3,95.2,-68.375,0.0,top
SW4,95.2,-87.375,0.0,top
SW5,76.2,-87.375,0.0,top
SW6,57.2,-87.375,0.0,top
SW7,57.2,-106.375,0.0,top
SW8,76.2,-106.375,0.0,top
SW9,95.2,-106.375,0.0,top
U1,66.62,-39.51,270.0,bottom
