Designator,Mid X,Mid Y,Rotation,Layer
D1,35.56,-160.9725,90.0,top
D10,104.775,-160.9725,90.0,top
D11,102.235,-160.9725,90.0,top
D12,99.695,-160.9725,90.0,top
D13,97.155,-160.9725,90.0,top
D14,94.615,-160.9725,90.0,top
D15,112.395,-160.9725,90.0,top
D16,109.855,-160.9725,90.0,top
D17,107.315,-160.9725,90.0,top
D18,45.72,-73.41,0.0,bottom
D19,64.77,-73.41,0.0,bottom
D2,38.1,-160.9725,90.0,top
D20,83.7854,-73.1984,0.0,bottom
D21,102.87,-73.41,0.0,bottom
D22,45.72,-92.46,0.0,bottom
D23,64.77,-92.46,0.0,bottom
D24,83.82,-92.46,0.0,bottom
D25,102.87,-101.985,0.0,bottom
D26,45.72,-111.51,0.0,bottom
D27,64.77,-111.51,0.0,bottom
D28,83.82,-111.51,0.0,bottom
D29,45.72,-130.56,0.0,bottom
D3,40.64,-160.9725,90.0,top
D30,64.77,-130.56,0.0,bottom
D31,83.82,-130.56,0.0,bottom
D32,102.87,-140.33,0.0,bottom
D33,55.245,-149.855,0.0,bottom
D34,83.82,-149.61,0.0,bottom
D4,43.18,-160.9725,90.0,top
D5,45.72,-160.9725,90.0,top
D6,55.88,-160.9725,90.0,top
D7,53.34,-160.9725,90.0,top
D8,50.8,-160.9725,90.0,top
D9,48.26,-160.9725,90.0,top
MX1,45.72,-66.46195,0.0,top
MX10,83.82,-66.46195,0.0,top
MX11,83.82,-85.51195,0.0,top
MX12,83.82,-104.56195,0.0,top
MX13,83.82,-123.61195,0.0,top
MX14,83.82,-142.66195,0.0,top
MX15,102.87,-66.46195,0.0,top
MX16,102.00005,-97.155,0.0,top
MX17,102.00005,-135.255,0.0,top
MX2,45.72,-85.51195,0.0,top
MX3,45.72,-104.56195,0.0,top
MX4,45.72,-123.61195,0.0,top
MX5,55.245,-145.64995,0.0,top
MX6,64.77,-66.46195,0.0,top
MX7,64.77,-85.51195,0.0,top
MX8,64.77,-104.56195,0.0,top
MX9,64.77,-123.61195,0.0,top
OL1,54.652,-46.25975,0.0,top
R1_PU1,65.024,-55.88,0.0,top
R1_PU2,46.228,-55.88,0.0,top
R1_PU3,93.218,-168.91,0.0,top
R1_PU4,82.804,-168.91,0.0,top
SW1,104.013,-46.863,0.0,top
U1,84.455,-46.99,0.0,top
U2,75.2375,-160.9825,90.0,top
