Designator,Mid X,Mid Y,Rotation,Layer
D1,114.3,-78.58125,90.0,bottom
D10,171.45,-116.68125,90.0,bottom
D11,171.45,-97.63125,90.0,bottom
D12,171.45,-78.58125,90.0,bottom
D2,133.35,-78.58125,90.0,bottom
D3,152.4,-78.58125,90.0,bottom
D4,114.3,-97.63125,90.0,bottom
D5,133.35,-97.63125,90.0,bottom
D6,152.4,-97.63125,90.0,bottom
D7,114.3,-116.68125,90.0,bottom
D8,133.35,-116.68125,90.0,bottom
D9,152.4,-116.68125,90.0,bottom
S1,104.4575,-78.58125,0.0,top
S10,161.6075,-116.68125,0.0,top
S11,161.6075,-97.63125,0.0,top
S12,161.6075,-78.58125,0.0,top
S2,123.5075,-78.58125,0.0,top
S3,142.5575,-78.58125,0.0,top
S4,104.4575,-97.63125,0.0,top
S5,123.5075,-97.63125,0.0,top
S6,142.5575,-97.63125,0.0,top
S7,104.4575,-116.68125,0.0,top
S8,123.5075,-116.68125,0.0,top
S9,142.5575,-116.68125,0.0,top
U2,171.45,-50.02375,270.0,top
