Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",0603,18,100nF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",0603,14,D_Small,
DS1,SSD1306-0.91-OLED-4pin-128x32,1,SSD1306_OLED_I2C,
"LED1, LED10, LED11, LED12, LED2, LED3, LED4, LED9",LED_MX_6028R-ROT,8,SK6812MINI-E,
"LED13, LED14, LED15, LED16",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"LED5, LED6, LED7, LED8",LED_MX_6028R,4,SK6812MINI-E,
"MX1, MX10, MX11, MX12, MX2, MX3, MX4, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,12,MX_SW_HS,
"R1, R2",0603,2,4k7,
R3,0603,1,10k,
"SW1, SW2",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch_MP,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574,
U3,SOT-353_SC-70-5_Handsoldering,1,74AHC1G125,
