Designator,Mid X,Mid Y,Rotation,Layer
D1,57.912,-73.66,0.0,bottom
D10,76.962,-111.76,0.0,bottom
D11,96.012,-111.76,0.0,bottom
D12,115.062,-111.76,0.0,bottom
D13,59.525,-59.525,180.0,bottom
D14,97.625,-59.525,180.0,bottom
D15,59.525,-97.625,180.0,bottom
D16,97.625,-97.625,180.0,bottom
D17,50.165,-57.15,90.0,bottom
D18,107.315,-57.15,90.0,bottom
D2,76.962,-73.66,0.0,bottom
D3,96.012,-73.66,0.0,bottom
D4,115.062,-73.66,0.0,bottom
D5,57.912,-92.71,0.0,bottom
D6,76.962,-92.71,0.0,bottom
D7,96.012,-92.71,0.0,bottom
D8,115.062,-92.71,0.0,bottom
D9,57.912,-111.76,0.0,bottom
DS1,78.6775,-50.121625,0.0,top
LED1,50.0,-63.97,180.0,bottom
LED10,69.05,-102.07,180.0,bottom
LED11,88.1,-102.07,180.0,bottom
LED12,107.15,-102.07,180.0,bottom
LED2,69.05,-63.97,180.0,bottom
LED3,88.1,-63.97,180.0,bottom
LED4,107.15,-63.97,180.0,bottom
LED5,50.0,-83.02,180.0,bottom
LED6,69.05,-83.02,180.0,bottom
LED7,88.1,-83.02,180.0,bottom
LED8,107.15,-83.02,180.0,bottom
LED9,50.0,-102.07,180.0,bottom
MX1,50.0,-69.05,180.0,bottom
MX10,69.05,-107.15,180.0,bottom
MX11,88.1,-107.15,180.0,bottom
MX12,107.15,-107.15,180.0,bottom
MX2,69.05,-69.05,180.0,bottom
MX3,88.1,-69.05,180.0,bottom
MX4,107.15,-69.05,180.0,bottom
MX5,50.0,-88.1,180.0,bottom
MX6,69.05,-88.1,180.0,bottom
MX7,88.1,-88.1,180.0,bottom
MX8,107.15,-88.1,180.0,bottom
MX9,50.0,-107.15,180.0,bottom
R1,85.725,-47.3456,270.0,top
SW1,50.0,-49.75,180.0,top
SW2,107.15,-49.75,180.0,top
U2,78.575,-49.53,90.0,top
U3,113.03,-60.325,90.0,bottom
