Designator,Mid X,Mid Y,Rotation,Layer
D1,68.356,-125.30735,180.0,bottom
D10,87.406,-163.40735,180.0,bottom
D11,106.456,-163.40735,180.0,bottom
D2,87.406,-125.30735,180.0,bottom
D3,106.456,-125.30735,180.0,bottom
D5,68.356,-144.35735,180.0,bottom
D6,87.406,-144.35735,180.0,bottom
D7,106.456,-144.35735,180.0,bottom
D9,68.356,-163.40735,180.0,bottom
S1,68.356,-115.78235,0.0,top
S2,87.406,-115.78235,0.0,top
S3,106.456,-115.78235,0.0,top
S4,68.356,-134.83235,0.0,top
S5,87.406,-134.83235,0.0,top
S6,106.456,-134.83235,0.0,top
S7,68.356,-153.88235,0.0,top
S8,87.406,-153.88235,0.0,top
S9,106.456,-153.88235,0.0,top
SW1,106.206,-96.73235,0.0,top
U1,87.3885,-95.46985,0.0,bottom
