Designator,Mid X,Mid Y,Rotation,Layer
D1,39.58875,-96.19,90.0,bottom
D10,77.68875,-134.76625,90.0,bottom
D11,49.06375,-100.2475,180.0,bottom
D12,68.06375,-100.3175,180.0,bottom
D13,68.06375,-119.3175,180.0,bottom
D14,49.06375,-119.3175,180.0,bottom
D15,30.06375,-119.3175,180.0,bottom
D16,30.06375,-138.3175,180.0,bottom
D17,49.06375,-138.3175,180.0,bottom
D18,68.06375,-138.3175,180.0,bottom
D2,58.63875,-96.19,90.0,bottom
D3,77.68875,-96.66625,90.0,bottom
D4,30.26375,-100.3175,180.0,bottom
D5,39.58875,-115.24,90.0,bottom
D6,58.63875,-115.71625,90.0,bottom
D7,77.68875,-115.24,90.0,bottom
D8,39.58875,-134.76625,90.0,bottom
D9,58.1625,-134.29,90.0,bottom
SW1,30.06375,-93.0725,0.0,top
SW10,90.01375,-113.9875,270.0,top
SW2,49.06375,-93.0725,0.0,top
SW3,68.06375,-93.0725,0.0,top
SW4,30.06375,-112.0725,0.0,top
SW5,49.06375,-112.0725,0.0,top
SW6,68.06375,-112.0725,0.0,top
SW7,30.06375,-131.0725,0.0,top
SW8,49.06375,-131.0725,0.0,top
SW9,68.06375,-131.0725,0.0,top
U2,33.5825,-61.9,0.0,top
