Designator,Mid X,Mid Y,Rotation,Layer
D1,198.21,-44.83,0.0,top
D10,145.415,-121.285,90.0,bottom
D11,165.1,-121.285,90.0,bottom
D12,184.15,-121.285,90.0,bottom
D13,203.2,-121.285,90.0,bottom
D14,205.74,-102.235,90.0,bottom
D15,205.74,-121.285,90.0,bottom
D16,205.74,-80.645,90.0,bottom
D17,184.24,-44.83,0.0,top
D18,170.27,-44.83,0.0,top
D19,131.065,-57.695,90.0,top
D2,146.05,-80.645,90.0,bottom
D20,140.88,-133.73,0.0,top
D21,154.85,-133.73,0.0,top
D22,168.82,-133.73,0.0,top
D23,182.79,-133.73,0.0,top
D24,196.76,-133.605,0.0,top
D25,210.73,-133.605,0.0,top
D26,194.31,-50.8,180.0,top
D27,171.45,-49.53,0.0,bottom
D3,165.1,-80.645,90.0,bottom
D4,184.15,-80.645,90.0,bottom
D5,203.2,-80.645,90.0,bottom
D6,146.05,-102.235,90.0,bottom
D7,165.1,-102.235,90.0,bottom
D8,184.15,-102.235,90.0,bottom
D9,203.2,-102.235,90.0,bottom
J1,148.705,-53.45,270.0,top
S1,136.525,-79.375,0.0,top
S10,155.575,-120.015,0.0,top
S11,174.625,-120.015,0.0,top
S12,193.675,-120.015,0.0,top
S13,215.265,-101.0,0.0,top
S14,215.265,-120.08,0.0,top
S15,215.265,-79.5,0.0,top
S2,155.575,-79.375,0.0,top
S3,174.625,-79.375,0.0,top
S4,193.675,-79.375,0.0,top
S5,136.525,-100.965,0.0,top
S6,155.575,-100.965,0.0,top
S7,174.625,-100.965,0.0,top
S8,193.675,-100.965,0.0,top
S9,136.525,-120.015,0.0,top
U1,214.635,-51.435,0.0,top
