Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_1206_3216Metric,130.05,-60.325,90.0,bottom
C10,0.1uF,C_1206_3216Metric,167.975,-120.325,90.0,bottom
C11,0.1uF,C_1206_3216Metric,116.75,-91.75,90.0,bottom
C12,0.1uF,C_1206_3216Metric,127.125,-87.6,0.0,bottom
C13,0.1uF,C_1206_3216Metric,126.8,-103.2,270.0,bottom
C14,0.1uF,C_1206_3216Metric,176.225,-91.5,0.0,bottom
C15,0.1uF,C_1206_3216Metric,183.4,-95.2,0.0,bottom
C16,0.1uF,C_1206_3216Metric,187.0,-91.5,0.0,bottom
C2,0.1uF,C_1206_3216Metric,149.1,-60.325,90.0,bottom
C3,0.1uF,C_1206_3216Metric,168.15,-60.325,90.0,bottom
C4,0.1uF,C_1206_3216Metric,187.2,-60.325,90.0,bottom
C5,0.1uF,C_1206_3216Metric,130.05,-79.375,90.0,bottom
C6,0.1uF,C_1206_3216Metric,149.1,-79.375,90.0,bottom
C7,0.1uF,C_1206_3216Metric,168.15,-79.375,90.0,bottom
C8,0.1uF,C_1206_3216Metric,187.2,-79.375,90.0,bottom
C9,0.1uF,C_1206_3216Metric,148.0,-120.425,90.0,bottom
D1,D,D_SOD-123,133.0,-53.1,90.0,bottom
D10,D,D_SOD-123,134.6,-108.6,270.0,bottom
D11,D,D_SOD-123,169.5,-108.25,270.0,bottom
D12,D,D_SOD-123,173.5,-108.25,270.0,bottom
D13,SK6812,SK6812MINI-E,123.95,-60.3,0.0,bottom
D14,SK6812,SK6812MINI-E,143.0,-60.3,0.0,bottom
D15,SK6812,SK6812MINI-E,162.05,-60.3,0.0,bottom
D16,SK6812,SK6812MINI-E,181.1,-60.3,0.0,bottom
D17,SK6812,SK6812MINI-E,123.95,-79.35,0.0,bottom
D18,SK6812,SK6812MINI-E,143.0,-79.35,0.0,bottom
D19,SK6812,SK6812MINI-E,162.05,-79.35,0.0,bottom
D2,D,D_SOD-123,152.0,-52.85,90.0,bottom
D20,SK6812,SK6812MINI-E,181.1,-79.35,0.0,bottom
D21,SK6812,SK6812MINI-E,142.92,-120.43,0.0,bottom
D22,SK6812,SK6812MINI-E,161.97,-120.43,0.0,bottom
D23,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,117.05,-91.6,0.0,top
D24,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,128.6,-91.6,0.0,top
D25,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,123.05,-98.4,0.0,top
D26,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,176.45,-91.6,0.0,top
D27,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,188.0,-91.6,0.0,top
D28,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,182.45,-98.4,0.0,top
D3,D,D_SOD-123,171.0,-52.85,90.0,bottom
D4,D,D_SOD-123,190.0,-53.1,90.0,bottom
D5,D,D_SOD-123,132.8,-72.25,90.0,bottom
D6,D,D_SOD-123,151.85,-72.3,90.0,bottom
D7,D,D_SOD-123,170.9,-72.3,90.0,bottom
D8,D,D_SOD-123,189.95,-72.3,90.0,bottom
D9,D,D_SOD-123,131.0,-108.5,270.0,bottom
R1,10k,R_1206_3216Metric,149.4,-98.1375,90.0,bottom
R2,10k,R_1206_3216Metric,155.1375,-96.8,0.0,bottom
SW1,SW_Push_45deg,SW_Kailh_Choc_V2,123.85,-55.095,0.0,top
SW10,SW_Push_45deg,SW_Kailh_Choc_V2,161.87,-115.225,0.0,top
SW2,SW_Push_45deg,SW_Kailh_Choc_V2,142.9,-55.095,0.0,top
SW3,SW_Push_45deg,SW_Kailh_Choc_V2,161.95,-55.095,0.0,top
SW4,SW_Push_45deg,SW_Kailh_Choc_V2,181.0,-55.095,0.0,top
SW5,SW_Push_45deg,SW_Kailh_Choc_V2,123.85,-74.145,0.0,top
SW6,SW_Push_45deg,SW_Kailh_Choc_V2,142.9,-74.145,0.0,top
SW7,SW_Push_45deg,SW_Kailh_Choc_V2,161.95,-74.145,0.0,top
SW8,SW_Push_45deg,SW_Kailh_Choc_V2,181.0,-74.145,0.0,top
SW9,SW_Push_45deg,SW_Kailh_Choc_V2,142.82,-115.225,0.0,top
U1,PCF8574A,SOIC127P1032X265-16N,124.2248,-95.445,180.0,bottom
