Designator,Mid X,Mid Y,Rotation,Layer
D1,156.21,-88.10625,180.0,top
D10,156.21,-152.4,180.0,top
D11,156.21,-147.6375,180.0,top
D12,156.21,-142.875,180.0,top
D2,156.21,-83.34375,180.0,top
D3,156.21,-78.58125,180.0,top
D4,155.73375,-109.5375,180.0,top
D5,155.73375,-104.775,180.0,top
D6,155.73375,-100.0125,180.0,top
D7,155.73375,-130.96875,180.0,top
D8,155.73375,-126.20625,180.0,top
D9,155.73375,-121.44375,180.0,top
S1,95.25,-85.725,0.0,top
S10,95.25,-150.01875,0.0,top
S11,116.68125,-150.01875,0.0,top
S12,138.1125,-150.01875,0.0,top
S2,116.68125,-85.725,0.0,top
S3,138.1125,-85.725,0.0,top
S4,95.25,-107.15625,0.0,top
S5,116.68125,-107.15625,0.0,top
S6,138.1125,-107.15625,0.0,top
S7,95.25,-128.5875,0.0,top
S8,116.68125,-128.5875,0.0,top
S9,138.1125,-128.5875,0.0,top
SW1,154.7625,-62.03125,0.0,top
U1,95.25,-56.45,90.0,top
