Designator,Mid X,Mid Y,Rotation,Layer
D1,75.7174,-129.794,270.0,top
D2,71.374,-114.427,0.0,top
D5,103.6574,-114.2746,180.0,top
D6,95.0468,-129.8448,270.0,top
D7,114.2746,-110.617,270.0,top
D8,114.2238,-129.8448,270.0,top
D9,133.35,-129.794,270.0,top
SW1,67.375,-123.00695,0.0,top
SW2,86.625,-103.75695,0.0,top
SW3,86.625,-123.00695,0.0,top
SW4,105.875,-103.75695,0.0,top
SW5,67.125,-106.05,0.0,top
SW6,105.875,-123.00695,0.0,top
SW7,125.125,-123.00695,0.0,top
U1,86.609,-106.8832,0.0,bottom
U2,134.75,-105.875,0.0,top
