Designator,Mid X,Mid Y,Rotation,Layer
D1,114.324767,-65.347457,90.0,bottom
D2,133.395,-65.391475,90.0,bottom
D3,152.419841,-65.325669,90.0,bottom
D4,114.34878,-84.412495,90.0,bottom
D5,133.369841,-84.395511,90.0,bottom
D6,152.419841,-84.395511,90.0,bottom
D7,114.282706,-103.442039,90.0,bottom
D8,133.35,-103.442269,90.0,bottom
D9,152.274461,-103.481984,90.0,bottom
S1,104.131352,-64.454723,0.0,top
S2,123.181352,-64.444695,0.0,top
S3,142.231352,-64.434667,0.0,top
S4,104.131878,-83.499067,0.0,top
S5,123.18498,-83.503964,0.0,top
S6,142.253212,-83.503964,0.0,top
S7,104.111296,-102.554723,0.0,top
S8,123.161296,-102.544695,0.0,top
S9,142.225049,-102.57506,0.0,top
U1,166.541263,-65.385373,0.0,top
