Designator,Mid X,Mid Y,Rotation,Layer
D1,134.242856,-50.006208,90.0,bottom
D2,153.29284,-50.006208,90.0,bottom
D3,172.342824,-50.006208,90.0,bottom
D4,134.242856,-69.056192,90.0,bottom
D5,152.995184,-69.056192,90.0,bottom
D6,172.342824,-69.056192,90.0,bottom
D7,134.242856,-88.046648,90.0,bottom
D8,153.29284,-88.046648,90.0,bottom
D9,172.342824,-88.046648,90.0,bottom
S1,124.860344,-50.905368,0.0,top
S2,143.9,-50.905368,0.0,top
S3,162.96,-50.905368,0.0,top
S4,124.860344,-69.95,0.0,top
S5,143.9,-69.95,0.0,top
S6,162.96,-69.95,0.0,top
S7,124.860344,-88.98,0.0,top
S8,143.9,-88.98,0.0,top
S9,162.96,-88.98,0.0,top
U1,190.797496,-69.056192,0.0,top
