Designator,Mid X,Mid Y,Rotation,Layer
D1,171.1325,-87.624,90.0,bottom
D10,133.0325,-125.724,90.0,bottom
D11,152.0825,-125.724,90.0,bottom
D12,171.1325,-125.724,90.0,bottom
D4,152.2095,-88.517,90.0,bottom
D5,113.9825,-106.674,90.0,bottom
D6,133.0325,-106.674,90.0,bottom
D7,152.0825,-106.674,90.0,bottom
D8,171.2595,-106.674,90.0,bottom
D9,113.9825,-125.724,90.0,bottom
E11,161.4805,-89.402,90.0,top
SW1,180.6575,-86.729,0.0,top
SW10,142.5575,-124.829,0.0,top
SW11,161.6075,-124.829,0.0,top
SW12,180.6575,-124.829,0.0,top
SW5,123.5075,-105.779,0.0,top
SW6,142.5575,-105.779,0.0,top
SW7,161.6075,-105.779,0.0,top
SW8,180.6575,-105.779,0.0,top
SW9,123.5075,-124.829,0.0,top
U1,123.5075,-88.005,0.0,bottom
