Designator,Mid X,Mid Y,Rotation,Layer
D1,60.786245,-53.131245,90.0,bottom
D10,79.836245,-91.092495,90.0,bottom
D11,98.886245,-91.092495,90.0,bottom
D12,41.736245,-53.131245,90.0,bottom
D2,79.836245,-53.131245,90.0,bottom
D3,98.886245,-53.131245,90.0,bottom
D4,41.736245,-72.206245,90.0,bottom
D5,60.786245,-72.206245,90.0,bottom
D6,79.836245,-72.206245,90.0,bottom
D7,98.886245,-72.206245,90.0,bottom
D8,41.742495,-91.092495,90.0,bottom
D9,60.786245,-91.092495,90.0,bottom
J1,38.211245,-31.046245,0.0,top
S1,51.261245,-52.256245,0.0,top
S10,70.311245,-90.356245,0.0,top
S11,89.361245,-90.356245,0.0,top
S2,70.311245,-52.256245,0.0,top
S3,89.361245,-52.256245,0.0,top
S4,32.211245,-71.306245,0.0,top
S5,51.261245,-71.306245,0.0,top
S6,70.311245,-71.306245,0.0,top
S7,89.361245,-71.306245,0.0,top
S8,32.211245,-90.356245,0.0,top
S9,51.261245,-90.356245,0.0,top
SW1,32.211245,-54.421245,0.0,top
U1,86.965245,-25.528745,0.0,top
