Comment,Designator,Footprint,LCSC
RotaryEncoder_Switch,SW6,RotaryEncoder_EC11,
RotaryEncoder_Switch,SW5,RotaryEncoder_EC11,
WS2812B,D10,SK6812-MINI-E,
WS2812B,D9,SK6812-MINI-E,
WS2812B,D8,SK6812-MINI-E,
WS2812B,D1,SK6812-MINI-E,
1N4148,D7,D_DO-35_SOD27_P7.62mm_Horizontal,
MCU_Seeed_XIAO_RP2040,U1,XIAO-RP2040-DIP,
SW_Push,SW4,MXOnly-1U-Hotswap-Antishear,
PCF8574A,U2,DIP-16_W7.62mm,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N4148,D5,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D6,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D3,D_DO-35_SOD27_P7.62mm_Horizontal,
SW_Push,SW2,MXOnly-1U-Hotswap-Antishear,
SW_Push,SW1,MXOnly-1U-Hotswap-Antishear,
1N4148,D4,D_DO-35_SOD27_P7.62mm_Horizontal,
Conn_01x04_Socket,J1,PinSocket_1x04_P2.54mm_Vertical,
SW_Push,SW3,MXOnly-1U-Hotswap-Antishear,
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,
