Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,SK6812-MINI-E,102.39375,-124.0625,0.0,bottom
D10,WS2812B,SK6812-MINI-E,159.54375,-124.0625,0.0,bottom
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,110.6,-104.6,-90.0,top
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,129.6,-104.6,-90.0,top
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,148.7,-104.6,-90.0,top
D5,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,167.7,-104.6,-90.0,top
D6,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,102.4,-96.8,180.0,top
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,161.2,-99.2,0.0,top
D8,WS2812B,SK6812-MINI-E,121.44375,-124.0625,0.0,bottom
D9,WS2812B,SK6812-MINI-E,140.49375,-124.0625,0.0,bottom
J1,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,115.125,-84.51,0.0,top
R1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,159.4,-95.3,0.0,top
SW1,SW_Push,MXOnly-1U-Hotswap-Antishear,101.77225,-116.51945,0.0,top
SW2,SW_Push,MXOnly-1U-Hotswap-Antishear,120.82225,-116.51945,0.0,top
SW3,SW_Push,MXOnly-1U-Hotswap-Antishear,139.87225,-116.51945,0.0,top
SW4,SW_Push,MXOnly-1U-Hotswap-Antishear,158.92225,-116.51945,0.0,top
SW5,RotaryEncoder_Switch,RotaryEncoder_EC11,102.4,-84.25,-90.0,top
SW6,RotaryEncoder_Switch,RotaryEncoder_EC11,159.55,-84.25,-90.0,top
U1,MCU_Seeed_XIAO_RP2040,XIAO-RP2040-DIP,130.975,-85.7185,0.0,top
U2,PCF8574A,DIP-16_W7.62mm,146.29,-85.29,0.0,top
