Designator,Mid X,Mid Y,Rotation,Layer
D1,114.3,-78.58125,90.0,bottom
D10,171.45,-116.68125,90.0,bottom
D11,171.45,-97.63125,90.0,bottom
D12,171.45,-78.58125,90.0,bottom
D13,161.85625,-65.025,0.0,top
D14,142.7375,-65.025,0.0,top
D15,123.75625,-65.025,0.0,top
D16,104.56875,-65.025,0.0,top
D17,91.21875,-78.65,90.0,top
D18,91.21875,-97.63125,90.0,top
D19,91.21875,-116.6125,90.0,top
D2,133.35,-78.58125,90.0,bottom
D20,104.56875,-131.7,180.0,top
D21,123.89375,-131.7,180.0,top
D22,142.80625,-131.7,180.0,top
D23,161.85625,-131.7,180.0,top
D24,177.8625,-116.75,270.0,top
D25,177.8625,-97.7,270.0,top
D26,177.8625,-78.58125,270.0,top
D27,104.56875,-49.275,0.0,top
D3,152.4,-78.58125,90.0,bottom
D4,114.3,-97.63125,90.0,bottom
D5,133.35,-97.63125,90.0,bottom
D6,152.4,-97.63125,90.0,bottom
D7,114.3,-116.68125,90.0,bottom
D8,133.35,-116.68125,90.0,bottom
D9,152.4,-116.68125,90.0,bottom
S1,104.4575,-78.58125,0.0,top
S10,161.6075,-116.68125,0.0,top
S11,161.6075,-97.63125,0.0,top
S12,161.6075,-78.58125,0.0,top
S2,123.5075,-78.58125,0.0,top
S3,142.5575,-78.58125,0.0,top
S4,104.4575,-97.63125,0.0,top
S5,123.5075,-97.63125,0.0,top
S6,142.5575,-97.63125,0.0,top
S7,104.4575,-116.68125,0.0,top
S8,123.5075,-116.68125,0.0,top
S9,142.5575,-116.68125,0.0,top
U2,171.45,-50.02375,270.0,top
